utc_hour_start,local_hour_start,local_wall_hour,utc_offset,fold,quarter_count,price_mean,price_min,price_max
2024-12-31T23:00Z,2025-01-01T00:00+01:00,2025-01-01 00:00,+01:00,0,4,1.560931884,1.560931884,1.560931884
2025-01-01T00:00Z,2025-01-01T01:00+01:00,2025-01-01 01:00,+01:00,0,4,1.4176382335,1.4176382335,1.4176382335
2025-01-01T01:00Z,2025-01-01T02:00+01:00,2025-01-01 02:00,+01:00,0,4,1.394018401,1.394018401,1.394018401
2025-01-01T02:00Z,2025-01-01T03:00+01:00,2025-01-01 03:00,+01:00,0,4,1.3420547695,1.3420547695,1.3420547695
2025-01-01T03:00Z,2025-01-01T04:00+01:00,2025-01-01 04:00,+01:00,0,4,1.337330803,1.337330803,1.337330803
2025-01-01T04:00Z,2025-01-01T05:00+01:00,2025-01-01 05:00,+01:00,0,4,1.4050409895,1.4050409895,1.4050409895
2025-01-01T05:00Z,2025-01-01T06:00+01:00,2025-01-01 06:00,+01:00,0,4,1.752428047,1.752428047,1.752428047
2025-01-01T06:00Z,2025-01-01T07:00+01:00,2025-01-01 07:00,+01:00,0,4,1.7980930565,1.7980930565,1.7980930565
2025-01-01T07:00Z,2025-01-01T08:00+01:00,2025-01-01 08:00,+01:00,0,4,1.9303641185,1.9303641185,1.9303641185
2025-01-01T08:00Z,2025-01-01T09:00+01:00,2025-01-01 09:00,+01:00,0,4,2.0059475825,2.0059475825,2.0059475825
2025-01-01T09:00Z,2025-01-01T10:00+01:00,2025-01-01 10:00,+01:00,0,4,2.146091922,2.146091922,2.146091922
2025-01-01T10:00Z,2025-01-01T11:00+01:00,2025-01-01 11:00,+01:00,0,4,2.1508158885,2.1508158885,2.1508158885
2025-01-01T11:00Z,2025-01-01T12:00+01:00,2025-01-01 12:00,+01:00,0,4,2.1476665775,2.1476665775,2.1476665775
2025-01-01T12:00Z,2025-01-01T13:00+01:00,2025-01-01 13:00,+01:00,0,4,2.1586891660000003,2.1586891660000003,2.1586891660000003
2025-01-01T13:00Z,2025-01-01T14:00+01:00,2025-01-01 14:00,+01:00,0,4,2.3460731705,2.3460731705,2.3460731705
2025-01-01T14:00Z,2025-01-01T15:00+01:00,2025-01-01 15:00,+01:00,0,4,3.0105777915000003,3.0105777915000003,3.0105777915000003
2025-01-01T15:00Z,2025-01-01T16:00+01:00,2025-01-01 16:00,+01:00,0,4,3.8073534745,3.8073534745,3.8073534745
2025-01-01T16:00Z,2025-01-01T17:00+01:00,2025-01-01 17:00,+01:00,0,4,3.9648190245,3.9648190245,3.9648190245
2025-01-01T17:00Z,2025-01-01T18:00+01:00,2025-01-01 18:00,+01:00,0,4,3.374323212,3.374323212,3.374323212
2025-01-01T18:00Z,2025-01-01T19:00+01:00,2025-01-01 19:00,+01:00,0,4,2.6987960025000004,2.6987960025000004,2.6987960025000004
2025-01-01T19:00Z,2025-01-01T20:00+01:00,2025-01-01 20:00,+01:00,0,4,2.4940907875000002,2.4940907875000002,2.4940907875000002
2025-01-01T20:00Z,2025-01-01T21:00+01:00,2025-01-01 21:00,+01:00,0,4,2.3397745485,2.3397745485,2.3397745485
2025-01-01T21:00Z,2025-01-01T22:00+01:00,2025-01-01 22:00,+01:00,0,4,2.2112646055000003,2.2112646055000003,2.2112646055000003
2025-01-01T22:00Z,2025-01-01T23:00+01:00,2025-01-01 23:00,+01:00,0,4,1.913654716,1.913654716,1.913654716
2025-01-01T23:00Z,2025-01-02T00:00+01:00,2025-01-02 00:00,+01:00,0,4,1.5823833635,1.5823833635,1.5823833635
2025-01-02T00:00Z,2025-01-02T01:00+01:00,2025-01-02 01:00,+01:00,0,4,1.5603107744999998,1.5603107744999998,1.5603107744999998
2025-01-02T01:00Z,2025-01-02T02:00+01:00,2025-01-02 02:00,+01:00,0,4,1.6202220875,1.6202220875,1.6202220875
2025-01-02T02:00Z,2025-01-02T03:00+01:00,2025-01-02 03:00,+01:00,0,4,1.8094157075,1.8094157075,1.8094157075
2025-01-02T03:00Z,2025-01-02T04:00+01:00,2025-01-02 04:00,+01:00,0,4,1.8850931555,1.8850931555,1.8850931555
2025-01-02T04:00Z,2025-01-02T05:00+01:00,2025-01-02 05:00,+01:00,0,4,2.0648270945,2.0648270945,2.0648270945
2025-01-02T05:00Z,2025-01-02T06:00+01:00,2025-01-02 06:00,+01:00,0,4,2.2828633149999997,2.2828633149999997,2.2828633149999997
2025-01-02T06:00Z,2025-01-02T07:00+01:00,2025-01-02 07:00,+01:00,0,4,2.245024591,2.245024591,2.245024591
2025-01-02T07:00Z,2025-01-02T08:00+01:00,2025-01-02 08:00,+01:00,0,4,2.295476223,2.295476223,2.295476223
2025-01-02T08:00Z,2025-01-02T09:00+01:00,2025-01-02 09:00,+01:00,0,4,2.254484272,2.254484272,2.254484272
2025-01-02T09:00Z,2025-01-02T10:00+01:00,2025-01-02 10:00,+01:00,0,4,2.213492321,2.213492321,2.213492321
2025-01-02T10:00Z,2025-01-02T11:00+01:00,2025-01-02 11:00,+01:00,0,4,2.1993027995,2.1993027995,2.1993027995
2025-01-02T11:00Z,2025-01-02T12:00+01:00,2025-01-02 12:00,+01:00,0,4,2.1756535969999997,2.1756535969999997,2.1756535969999997
2025-01-02T12:00Z,2025-01-02T13:00+01:00,2025-01-02 13:00,+01:00,0,4,2.1315084189999998,2.1315084189999998,2.1315084189999998
2025-01-02T13:00Z,2025-01-02T14:00+01:00,2025-01-02 14:00,+01:00,0,4,2.1520043945,2.1520043945,2.1520043945
2025-01-02T14:00Z,2025-01-02T15:00+01:00,2025-01-02 15:00,+01:00,0,4,2.1709237565,2.1709237565,2.1709237565
2025-01-02T15:00Z,2025-01-02T16:00+01:00,2025-01-02 16:00,+01:00,0,4,2.2812867014999996,2.2812867014999996,2.2812867014999996
2025-01-02T16:00Z,2025-01-02T17:00+01:00,2025-01-02 17:00,+01:00,0,4,2.257637499,2.257637499,2.257637499
2025-01-02T17:00Z,2025-01-02T18:00+01:00,2025-01-02 18:00,+01:00,0,4,2.2008794129999996,2.2008794129999996,2.2008794129999996
