day_type,horizon,lag1_to_future_spread_corr,rows
friday,1,0.7513043855594999,1080
friday,3,0.48334819288152936,1080
friday,6,0.3609484354824537,1080
friday,12,0.3574827001033262,1080
friday,24,0.5532345174632209,1080
friday,48,0.3849562787100289,1080
holiday,1,0.7671648989165696,576
holiday,3,0.5066626816532216,576
holiday,6,0.275665226374408,576
holiday,12,0.14786566953802968,576
holiday,24,0.2915903345495586,576
holiday,48,0.07998413340340561,576
monday_to_thursday,1,0.7436326975958234,4728
monday_to_thursday,3,0.4738058349485622,4728
monday_to_thursday,6,0.3218234944899114,4728
monday_to_thursday,12,0.4119547745988476,4728
monday_to_thursday,24,0.48904209035358326,4728
monday_to_thursday,48,0.4006992779886586,4728
saturday,1,0.8356184468533168,1200
saturday,3,0.645871883929265,1200
saturday,6,0.46686891198005054,1200
saturday,12,0.34615624761422464,1200
saturday,24,0.5951960018105303,1200
saturday,48,0.24584527797715183,1200
sunday,1,0.8535050690118552,1176
sunday,3,0.6505339779679897,1176
sunday,6,0.4444843070000705,1176
sunday,12,0.34375698611060246,1176
sunday,24,0.2846322420364024,1176
sunday,48,0.10638518161367388,1176
