price_field,threshold,day_type,rows,future_6h_spread_mean
se1_price,p90,friday,66,0.26711549242424243
se1_price,p90,holiday,0,0.0
se1_price,p90,monday_to_thursday,251,0.1776686653386454
se1_price,p90,saturday,2,0.34228499999999995
se1_price,p90,sunday,2,0.00994500000000001
se1_price,p95,friday,28,0.2095824107142858
se1_price,p95,holiday,0,0.0
se1_price,p95,monday_to_thursday,83,0.11197204819277107
se1_price,p95,saturday,0,0.0
se1_price,p95,sunday,0,0.0
se3_price,p90,friday,21,0.5581877380952379
se3_price,p90,holiday,0,0.0
se3_price,p90,monday_to_thursday,139,0.7127924100719424
se3_price,p90,saturday,0,0.0
se3_price,p90,sunday,0,0.0
se3_price,p95,friday,3,0.61736
se3_price,p95,holiday,0,0.0
se3_price,p95,monday_to_thursday,26,1.203985480769231
se3_price,p95,saturday,0,0.0
se3_price,p95,sunday,0,0.0
