group,rows,raw_mean,raw_lift_vs_all,residual_mean,residual_lift_vs_all
monday_to_thursday,6552,0.35436512553418803,0.053850945591377486,0.2932051751373634,0.035660293805664434
friday,1752,0.2972841894977169,-0.0032299904450936445,0.2592063227739725,0.0016614414422735369
saturday,1752,0.2223423102168952,-0.07817186972591533,0.20813443250570757,-0.04941044882599138
sunday,1752,0.21007535388127893,-0.09043882606153161,0.19332036008847056,-0.06422452124322839
weekend,3504,0.2162088320490871,-0.08430534789372343,0.20072739629708897,-0.05681748503460998
holiday,840,0.17392569047619047,-0.12658848946662007,0.16518912172619055,-0.0923557596055084
bridge_day,144,0.24918840277777773,-0.05132577716503281,0.23798049565972212,-0.019564385671976825
holiday_period,264,0.16319103219696965,-0.1373231477458409,0.1493842196969697,-0.10816066163472926
workday_business_hour,3640,0.30738061401098904,0.006866434068178495,0.2310938173763732,-0.02645106395532576
morning_peak,2040,0.3577383578431375,0.05722417790032697,0.2793215728553923,0.021776691523693326
evening_peak,2550,0.4624199794117657,0.16190579946895517,0.37387772372548944,0.11633284239379049
