timestamp_utc,model_cet_timestamp,model_cet_date,model_cet_hour,model_cet_weekday,model_cet_day_of_year,model_cet_hour_sin,model_cet_hour_cos,model_cet_day_of_year_sin,model_cet_day_of_year_cos,se1_price,se3_price,se3_minus_se1,is_special_day,is_bridge_day,is_holiday_period,is_major_social_holiday,temperature_south_proxy_actual,temperature_south_proxy_normal,temperature_south_proxy_delta,temperature_south_proxy_delta_rank_in_day,spread_regime,is_near_zero,is_positive_bottleneck,is_positive_spike,is_negative_bottleneck,is_negative_spike,lag1_spread,lag1_abs_spread,lag1_is_positive_bottleneck,lag1_is_positive_spike,lag24_spread,lag24_is_positive_bottleneck,split,p0049_weather_pressure_ema_24h,p0049_learned_pressure_score_ema_24h,is_monday,is_tuesday,is_wednesday,is_thursday,is_friday,is_saturday,is_sunday,is_weekend,is_holiday,is_workday_business_hour,is_morning_peak,is_evening_peak,day_type_group,expected_spread_B0_hour_weekday,expected_spread_B1_hour_daytype_season,expected_spread_B2_smoothed_hour_daytype_dayofyear,selected_expected_spread_baseline_id,expected_spread_baseline,spread_residual,spread_residual_abs,is_positive_bottleneck_residual_regime,se3_rank_in_day,se3_percentile_in_day,se3_is_top2_day,se3_is_bottom2_day,se3_is_top4_day,se3_is_bottom4_day,se3_is_top6_day,se3_is_bottom6_day,se3_is_top8_day,se3_is_bottom8_day,se3_price_minus_day_mean,se3_price_minus_day_median,se3_price_zscore_day,se3_above_day_p70,se3_above_day_p80,se3_above_day_p90,se3_below_day_p30,se3_below_day_p20,se3_below_day_p10,se3_rank_in_48h,se3_percentile_in_48h,se3_is_top4_48h,se3_is_bottom4_48h,se3_is_top8_48h,se3_is_bottom8_48h,se3_is_top12_48h,se3_is_bottom12_48h,se3_is_top16_48h,se3_is_bottom16_48h,se3_price_minus_48h_mean,se3_price_zscore_48h,se3_above_48h_p70,se3_above_48h_p80,se3_above_48h_p90,se3_below_48h_p30,se3_below_48h_p20,se3_below_48h_p10,top4_day_hours_last_6h,top4_day_hours_last_12h,top4_day_hours_last_24h,top8_day_hours_last_6h,top8_day_hours_last_12h,top8_day_hours_last_24h
2022-05-29T23:00:00+00:00,2022-05-30T00:00:00+00:00,2022-05-30,0,0,150,0.0,1.0,0.5366961939916005,-0.8437755598231856,1.32863,1.32863,0.0,0,0,0,0,10.024999999999999,12.515,-2.490000000000002,0.8260869565217391,near_zero,1,0,0,0,0,0.0,0.0,0,0,0.0,0,train,-0.8617260101419877,0.277153978024851,1,0,0,0,0,0,0,0,0,0,0,0,monday_to_thursday,0.0,0.0,0.0,B2_smoothed_hour_daytype_dayofyear,0.0,0.0,0.0,0,21,0.13043478260869568,0,0,0,1,0,1,0,1,-0.39355624999999983,-0.52288,-1.2414000325962904,0,0,0,1,1,0,1,1.0,1,1,1,1,1,1,1,1,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0
2022-05-30T00:00:00+00:00,2022-05-30T01:00:00+00:00,2022-05-30,1,0,150,0.25881904510252074,0.9659258262890683,0.5366961939916005,-0.8437755598231856,1.30961,1.30961,0.0,0,0,0,0,9.639999999999999,11.93,-2.290000000000001,0.9130434782608695,near_zero,1,0,0,0,0,0.0,0.0,0,0,0.0,0,train,-1.6735062136417118,0.5228769588685402,1,0,0,0,0,0,0,0,0,0,0,0,monday_to_thursday,0.0,0.0,0.0,B2_smoothed_hour_daytype_dayofyear,0.0,0.0,0.0,0,22,0.08695652173913049,0,0,0,1,0,1,0,1,-0.41257624999999987,-0.5419,-1.3013950869753823,0,0,0,1,1,1,2,0.0,1,1,1,1,1,1,1,1,-0.009509999999999907,-0.9999999999999883,0,0,0,1,1,1,0,0,0,0,0,0
2022-05-30T01:00:00+00:00,2022-05-30T02:00:00+00:00,2022-05-30,2,0,150,0.49999999999999994,0.8660254037844387,0.5366961939916005,-0.8437755598231856,1.37928,1.37928,0.0,0,0,0,0,9.104999999999999,11.644999999999998,-2.539999999999999,0.782608695652174,near_zero,1,0,0,0,0,0.0,0.0,0,0,0.0,0,train,-2.9882971121819293,0.6376369721332059,1,0,0,0,0,0,0,0,0,0,0,0,monday_to_thursday,0.0,0.0,0.0,B2_smoothed_hour_daytype_dayofyear,0.0,0.0,0.0,0,20,0.17391304347826086,0,0,0,0,0,1,0,1,-0.34290624999999975,-0.4722299999999999,-1.0816340229064374,0,0,0,1,1,0,1,1.0,1,1,1,1,1,1,1,1,0.04010666666666696,1.364009998186503,1,1,1,0,0,0,0,0,0,0,0,0
2022-05-30T02:00:00+00:00,2022-05-30T03:00:00+00:00,2022-05-30,3,0,150,0.7071067811865475,0.7071067811865476,0.5366961939916005,-0.8437755598231856,1.4251,1.4251,0.0,0,0,0,0,8.525,11.25,-2.7249999999999996,0.6956521739130435,near_zero,1,0,0,0,0,0.0,0.0,0,0,0.0,0,train,-4.827429489666071,0.5918595398616685,1,0,0,0,0,0,0,0,0,0,0,0,monday_to_thursday,0.0,0.0,0.0,B2_smoothed_hour_daytype_dayofyear,0.0,0.0,0.0,0,19,0.21739130434782605,0,0,0,0,0,1,0,1,-0.2970862499999998,-0.42640999999999996,-0.9371033503696348,0,0,0,1,0,0,1,1.0,1,1,1,1,1,1,1,1,0.06444500000000009,1.429357283670979,1,1,1,0,0,0,0,0,0,0,0,0
2022-05-30T03:00:00+00:00,2022-05-30T04:00:00+00:00,2022-05-30,4,0,150,0.8660254037844386,0.5000000000000001,0.5366961939916005,-0.8437755598231856,1.51105,1.51105,0.0,0,0,0,0,8.450000000000001,11.044999999999998,-2.594999999999997,0.7391304347826086,near_zero,1,0,0,0,0,0.0,0.0,0,0,0.0,0,train,-6.218877432074615,0.6043022549229764,1,0,0,0,0,0,0,0,0,0,0,0,monday_to_thursday,0.0,0.0,0.0,B2_smoothed_hour_daytype_dayofyear,0.0,0.0,0.0,0,18,0.26086956521739135,0,0,0,0,0,0,0,1,-0.2111362499999998,-0.34046,-0.6659900525839912,0,0,0,1,0,0,1,1.0,1,0,1,1,1,1,1,1,0.12031600000000009,1.6612729104867021,1,1,1,0,0,0,0,0,0,0,0,0
2022-05-30T04:00:00+00:00,2022-05-30T05:00:00+00:00,2022-05-30,5,0,150,0.9659258262890683,0.25881904510252074,0.5366961939916005,-0.8437755598231856,1.5637,1.70293,0.13922999999999996,0,0,0,0,9.22,11.53,-2.3099999999999987,0.8695652173913043,small_nonzero,0,0,0,0,0,0.0,0.0,0,0,0.0,0,train,-7.15516406771193,0.5992027009500682,1,0,0,0,0,0,0,0,0,0,0,0,monday_to_thursday,0.0,0.0,0.0027641249999999997,B2_smoothed_hour_daytype_dayofyear,0.0027641249999999997,0.13646587499999996,0.13646587499999996,0,17,0.30434782608695654,0,0,0,0,0,0,0,1,-0.019256249999999753,-0.14857999999999993,-0.060740261087664144,0,0,0,0,0,0,1,1.0,1,0,1,1,1,1,1,1,0.2601633333333335,1.9441165919098828,1,1,1,0,0,0,0,0,0,0,0,0
2022-05-30T05:00:00+00:00,2022-05-30T06:00:00+00:00,2022-05-30,6,0,150,1.0,6.123233995736766e-17,0.5366961939916005,-0.8437755598231856,1.91824,1.91824,0.0,0,0,0,0,10.705,12.725,-2.0199999999999996,0.9565217391304348,near_zero,1,0,0,0,0,0.13922999999999996,0.13922999999999996,0,0,0.0,0,train,-7.359931937468457,0.8364550487861564,1,0,0,0,0,0,0,0,0,0,1,0,monday_to_thursday,0.0,0.18763500000000002,0.18962287500000002,B2_smoothed_hour_daytype_dayofyear,0.18962287500000002,-0.18962287500000002,0.18962287500000002,0,9,0.6521739130434783,0,0,0,0,0,0,0,0,0.19605375000000014,0.06672999999999996,0.6184151100144523,0,0,0,0,0,0,1,1.0,1,0,1,1,1,1,1,1,0.4075485714285716,1.9646343732471263,1,1,1,0,0,0,0,0,0,0,0,0
2022-05-30T06:00:00+00:00,2022-05-30T07:00:00+00:00,2022-05-30,7,0,150,0.9659258262890683,-0.25881904510252063,0.5366961939916005,-0.8437755598231856,2.03361,2.06177,0.028160000000000185,0,0,0,0,11.985000000000001,14.0,-2.014999999999999,1.0,near_zero,1,0,0,0,0,0.0,0.0,0,0,0.0,0,train,-6.668497493847817,1.2780706957920864,1,0,0,0,0,0,0,0,0,1,1,0,monday_to_thursday,0.09446999999999998,0.14344500000000002,0.23587262500000003,B2_smoothed_hour_daytype_dayofyear,0.23587262500000003,-0.20771262499999985,0.20771262499999985,0,1,1.0,1,0,1,0,1,0,1,0,0.3395837500000003,0.2102600000000001,1.0711538142747603,1,1,1,0,0,0,1,1.0,1,0,1,1,1,1,1,1,0.4821937500000004,1.8113106894947726,1,1,1,0,0,0,0,0,0,0,0,0
2022-05-30T07:00:00+00:00,2022-05-30T08:00:00+00:00,2022-05-30,8,0,150,0.8660254037844387,-0.49999999999999983,0.5366961939916005,-0.8437755598231856,2.01354,2.01354,0.0,0,0,0,0,12.494999999999997,15.33,-2.8350000000000026,0.6521739130434783,near_zero,1,0,0,0,0,0.028160000000000185,0.028160000000000185,0,0,0.0,0,train,-5.289526065300615,2.0059528668728,1,0,0,0,0,0,0,0,0,1,1,0,monday_to_thursday,0.03245000000000001,0.0,0.10252287500000001,B2_smoothed_hour_daytype_dayofyear,0.10252287500000001,-0.10252287500000001,0.10252287500000001,0,3,0.9130434782608696,0,0,1,0,1,0,1,0,0.2913537500000001,0.1620299999999999,0.9190212447319835,1,1,1,0,0,0,2,0.875,1,0,1,1,1,1,1,1,0.3857455555555558,1.3504229195302873,1,1,0,0,0,0,1,1,1,1,1,1
2022-05-30T08:00:00+00:00,2022-05-30T09:00:00+00:00,2022-05-30,9,0,150,0.7071067811865476,-0.7071067811865475,0.5366961939916005,-0.8437755598231856,2.00871,2.00871,0.0,0,0,0,0,13.279999999999998,16.294999999999998,-3.0150000000000006,0.6086956521739131,near_zero,1,0,0,0,0,0.0,0.0,0,0,0.0,0,train,-4.0358531803717685,2.633119147998216,1,0,0,0,0,0,0,0,0,1,1,0,monday_to_thursday,0.0,0.0,0.014467375,B2_smoothed_hour_daytype_dayofyear,0.014467375,-0.014467375,0.014467375,0,5,0.8260869565217391,0,0,0,0,1,0,1,0,0.2865237500000004,0.15720000000000023,0.9037859075789345,1,1,0,0,0,0,3,0.7777777777777778,1,0,1,1,1,1,1,1,0.34282400000000046,1.1656771190186654,1,0,0,0,0,0,2,2,2,2,2,2
