condition,base_model,plus_model,rows,base_MAE,plus_G7_MAE,relative_improvement
forecast_price_top4_day_hours,M4_base_Ridge_G4,M4_plus_G7_Ridge_G4_price,9744,98.27687199122346,110.05851833856575,-0.11988218701541946
forecast_price_top4_day_hours,M7_base_HGB_G4,M7_plus_G7_HGB_G4_price,9744,28.720429862858172,29.073525569993777,-0.012294234759774095
forecast_price_top8_day_hours,M4_base_Ridge_G4,M4_plus_G7_Ridge_G4_price,19488,99.32227868461842,109.35080139091427,-0.10096951901536383
forecast_price_top8_day_hours,M7_base_HGB_G4,M7_plus_G7_HGB_G4_price,19488,28.912935878445506,29.239583557253713,-0.011297630935214782
forecast_price_bottom4_day_hours,M4_base_Ridge_G4,M4_plus_G7_Ridge_G4_price,9744,105.52123074388443,111.05863640573999,-0.05247669708568561
forecast_price_bottom4_day_hours,M7_base_HGB_G4,M7_plus_G7_HGB_G4_price,9744,24.807762557760828,24.860730895750372,-0.002135151764138974
forecast_price_high_168h_rank_hours,M4_base_Ridge_G4,M4_plus_G7_Ridge_G4_price,6960,100.23480336123585,109.47075506366703,-0.09214316178329564
forecast_price_high_168h_rank_hours,M7_base_HGB_G4,M7_plus_G7_HGB_G4_price,6960,30.979008232615204,31.147619178955186,-0.00544274836282413
forecast_price_low_168h_rank_hours,M4_base_Ridge_G4,M4_plus_G7_Ridge_G4_price,6960,104.49078909406562,111.08838241730608,-0.06314042970142676
forecast_price_low_168h_rank_hours,M7_base_HGB_G4,M7_plus_G7_HGB_G4_price,6960,23.92086168229432,23.757138927653127,0.006844350208436514
cold_plus_forecast_top8_hours,M4_base_Ridge_G4,M4_plus_G7_Ridge_G4_price,4935,104.60905051897751,111.46891780245694,-0.06557623120988904
cold_plus_forecast_top8_hours,M7_base_HGB_G4,M7_plus_G7_HGB_G4_price,4935,40.605334888123,40.883335357538684,-0.006846402576943208
weekday_forecast_top8_hours,M4_base_Ridge_G4,M4_plus_G7_Ridge_G4_price,13920,99.16768379759543,109.11558290769086,-0.10031392011130794
weekday_forecast_top8_hours,M7_base_HGB_G4,M7_plus_G7_HGB_G4_price,13920,29.05774800364782,29.265295121624213,-0.007142574089029136
weekend_forecast_top8_hours,M4_base_Ridge_G4,M4_plus_G7_Ridge_G4_price,5568,99.70876590217625,109.93884759897325,-0.10259962205162262
weekend_forecast_top8_hours,M7_base_HGB_G4,M7_plus_G7_HGB_G4_price,5568,28.55090556544028,29.175304646327433,-0.021869676933923995
holiday_forecast_top8_hours,M4_base_Ridge_G4,M4_plus_G7_Ridge_G4_price,824,96.57239533407666,105.88667345995475,-0.09644866003019645
holiday_forecast_top8_hours,M7_base_HGB_G4,M7_plus_G7_HGB_G4_price,824,30.06750667312023,29.951794381443925,0.0038484165958380255
