family,name,horizon_h,split,row_count,MAE,RMSE,median_absolute_error,p90_absolute_error,p95_absolute_error,bias,sMAPE,R2
baseline,pred_B0_same_hour_previous_day,1,validate,8760,12.524389226541043,16.582798048797432,9.690200999999973,27.40523982500005,33.840464025,-0.08055217157534289,0.039351470045614075,0.8809905219185575
baseline,pred_B0_same_hour_previous_day,1,holdout,3480,13.39025614446841,17.06282491756342,11.073060500000011,28.251701300000047,33.8160003375,0.9829516313936757,0.04098422114117741,0.9256714333268244
baseline,pred_B0_same_hour_previous_day,3,validate,8760,12.524389226541043,16.582798048797432,9.690200999999973,27.40523982500005,33.840464025,-0.08055217157534289,0.039351470045614075,0.8809905219185575
baseline,pred_B0_same_hour_previous_day,3,holdout,3480,13.39025614446841,17.06282491756342,11.073060500000011,28.251701300000047,33.8160003375,0.9829516313936757,0.04098422114117741,0.9256714333268244
baseline,pred_B0_same_hour_previous_day,6,validate,8760,12.524389226541043,16.582798048797432,9.690200999999973,27.40523982500005,33.840464025,-0.08055217157534289,0.039351470045614075,0.8809905219185575
baseline,pred_B0_same_hour_previous_day,6,holdout,3480,13.39025614446841,17.06282491756342,11.073060500000011,28.251701300000047,33.8160003375,0.9829516313936757,0.04098422114117741,0.9256714333268244
baseline,pred_B0_same_hour_previous_day,12,validate,8760,12.524389226541043,16.582798048797432,9.690200999999973,27.40523982500005,33.840464025,-0.08055217157534289,0.039351470045614075,0.8809905219185575
baseline,pred_B0_same_hour_previous_day,12,holdout,3480,13.39025614446841,17.06282491756342,11.073060500000011,28.251701300000047,33.8160003375,0.9829516313936757,0.04098422114117741,0.9256714333268244
baseline,pred_B0_same_hour_previous_day,24,validate,8760,12.524389226541043,16.582798048797432,9.690200999999973,27.40523982500005,33.840464025,-0.08055217157534289,0.039351470045614075,0.8809905219185575
baseline,pred_B0_same_hour_previous_day,24,holdout,3480,13.39025614446841,17.06282491756342,11.073060500000011,28.251701300000047,33.8160003375,0.9829516313936757,0.04098422114117741,0.9256714333268244
baseline,pred_B0_same_hour_previous_day,48,validate,8760,12.524389226541043,16.582798048797432,9.690200999999973,27.40523982500005,33.840464025,-0.08055217157534289,0.039351470045614075,0.8809905219185575
baseline,pred_B0_same_hour_previous_day,48,holdout,3480,13.39025614446841,17.06282491756342,11.073060500000011,28.251701300000047,33.8160003375,0.9829516313936757,0.04098422114117741,0.9256714333268244
baseline,pred_B0_same_hour_previous_day,72,validate,8760,12.524389226541043,16.582798048797432,9.690200999999973,27.40523982500005,33.840464025,-0.08055217157534289,0.039351470045614075,0.8809905219185575
baseline,pred_B0_same_hour_previous_day,72,holdout,3480,13.39025614446841,17.06282491756342,11.073060500000011,28.251701300000047,33.8160003375,0.9829516313936757,0.04098422114117741,0.9256714333268244
baseline,pred_B0_same_hour_previous_day,96,validate,8760,12.524389226541043,16.582798048797432,9.690200999999973,27.40523982500005,33.840464025,-0.08055217157534289,0.039351470045614075,0.8809905219185575
baseline,pred_B0_same_hour_previous_day,96,holdout,3480,13.39025614446841,17.06282491756342,11.073060500000011,28.251701300000047,33.8160003375,0.9829516313936757,0.04098422114117741,0.9256714333268244
baseline,pred_B0_same_hour_previous_day,120,validate,8760,12.524389226541043,16.582798048797432,9.690200999999973,27.40523982500005,33.840464025,-0.08055217157534289,0.039351470045614075,0.8809905219185575
baseline,pred_B0_same_hour_previous_day,120,holdout,3480,13.39025614446841,17.06282491756342,11.073060500000011,28.251701300000047,33.8160003375,0.9829516313936757,0.04098422114117741,0.9256714333268244
baseline,pred_B0_same_hour_previous_day,144,validate,8760,12.524389226541043,16.582798048797432,9.690200999999973,27.40523982500005,33.840464025,-0.08055217157534289,0.039351470045614075,0.8809905219185575
baseline,pred_B0_same_hour_previous_day,144,holdout,3480,13.39025614446841,17.06282491756342,11.073060500000011,28.251701300000047,33.8160003375,0.9829516313936757,0.04098422114117741,0.9256714333268244
baseline,pred_B0_same_hour_previous_day,168,validate,8760,12.524389226541043,16.582798048797432,9.690200999999973,27.40523982500005,33.840464025,-0.08055217157534289,0.039351470045614075,0.8809905219185575
baseline,pred_B0_same_hour_previous_day,168,holdout,3480,13.39025614446841,17.06282491756342,11.073060500000011,28.251701300000047,33.8160003375,0.9829516313936757,0.04098422114117741,0.9256714333268244
baseline,pred_B1_same_hour_previous_week,1,validate,8760,20.246489115867636,27.19857225563158,14.937005749999997,46.921102474999934,59.37693710000001,0.18334603264840624,0.06228938381185095,0.6798465831933482
baseline,pred_B1_same_hour_previous_week,1,holdout,3480,28.587830676364888,36.437581757562654,24.01223924999998,62.13508912499999,76.15384782499994,4.925520374784492,0.08564906093587843,0.6610364634055562
baseline,pred_B1_same_hour_previous_week,3,validate,8760,20.246489115867636,27.19857225563158,14.937005749999997,46.921102474999934,59.37693710000001,0.18334603264840624,0.06228938381185095,0.6798465831933482
baseline,pred_B1_same_hour_previous_week,3,holdout,3480,28.587830676364888,36.437581757562654,24.01223924999998,62.13508912499999,76.15384782499994,4.925520374784492,0.08564906093587843,0.6610364634055562
baseline,pred_B1_same_hour_previous_week,6,validate,8760,20.246489115867636,27.19857225563158,14.937005749999997,46.921102474999934,59.37693710000001,0.18334603264840624,0.06228938381185095,0.6798465831933482
baseline,pred_B1_same_hour_previous_week,6,holdout,3480,28.587830676364888,36.437581757562654,24.01223924999998,62.13508912499999,76.15384782499994,4.925520374784492,0.08564906093587843,0.6610364634055562
baseline,pred_B1_same_hour_previous_week,12,validate,8760,20.246489115867636,27.19857225563158,14.937005749999997,46.921102474999934,59.37693710000001,0.18334603264840624,0.06228938381185095,0.6798465831933482
baseline,pred_B1_same_hour_previous_week,12,holdout,3480,28.587830676364888,36.437581757562654,24.01223924999998,62.13508912499999,76.15384782499994,4.925520374784492,0.08564906093587843,0.6610364634055562
baseline,pred_B1_same_hour_previous_week,24,validate,8760,20.246489115867636,27.19857225563158,14.937005749999997,46.921102474999934,59.37693710000001,0.18334603264840624,0.06228938381185095,0.6798465831933482
baseline,pred_B1_same_hour_previous_week,24,holdout,3480,28.587830676364888,36.437581757562654,24.01223924999998,62.13508912499999,76.15384782499994,4.925520374784492,0.08564906093587843,0.6610364634055562
baseline,pred_B1_same_hour_previous_week,48,validate,8760,20.246489115867636,27.19857225563158,14.937005749999997,46.921102474999934,59.37693710000001,0.18334603264840624,0.06228938381185095,0.6798465831933482
baseline,pred_B1_same_hour_previous_week,48,holdout,3480,28.587830676364888,36.437581757562654,24.01223924999998,62.13508912499999,76.15384782499994,4.925520374784492,0.08564906093587843,0.6610364634055562
baseline,pred_B1_same_hour_previous_week,72,validate,8760,20.246489115867636,27.19857225563158,14.937005749999997,46.921102474999934,59.37693710000001,0.18334603264840624,0.06228938381185095,0.6798465831933482
baseline,pred_B1_same_hour_previous_week,72,holdout,3480,28.587830676364888,36.437581757562654,24.01223924999998,62.13508912499999,76.15384782499994,4.925520374784492,0.08564906093587843,0.6610364634055562
baseline,pred_B1_same_hour_previous_week,96,validate,8760,20.246489115867636,27.19857225563158,14.937005749999997,46.921102474999934,59.37693710000001,0.18334603264840624,0.06228938381185095,0.6798465831933482
