regime,model_name,holdout_row_count,holdout_MAE,holdout_RMSE,holdout_bias,holdout_R2
cold_hours_temperature_p25_or_lower,ExtraTrees_G4_se4_load_weather,21868,29.653428764704344,36.32732807017803,-5.941339642128149,0.9087938235564472
cold_hours_temperature_p25_or_lower,LightGBM_G4_se4_load_weather,21868,28.3298340943822,36.139990624466556,-8.727635937792487,0.9097320855500453
cold_hours_temperature_p25_or_lower,XGBoost_G4_se4_load_weather,21868,25.291525733296744,32.131378856633866,-5.3855607116554705,0.9286463714434915
very_cold_hours_temperature_p10_or_lower,ExtraTrees_G4_se4_load_weather,10483,31.42936641090151,38.11965942069024,-5.578352904994345,0.8439934303281859
very_cold_hours_temperature_p10_or_lower,LightGBM_G4_se4_load_weather,10483,30.123775765302618,38.60606225515762,-13.696049749792069,0.8399867753767004
very_cold_hours_temperature_p10_or_lower,XGBoost_G4_se4_load_weather,10483,25.418184746199035,32.791469085877615,-5.9164125876061116,0.8845572638183014
rapid_temperature_drop_proxy_p10_or_lower,ExtraTrees_G4_se4_load_weather,10384,30.082467255079596,37.0976794707253,-3.4864276889733055,0.9466071869052868
rapid_temperature_drop_proxy_p10_or_lower,LightGBM_G4_se4_load_weather,10384,26.40136617579344,34.490753827754574,-8.491851355851818,0.9538475578356012
rapid_temperature_drop_proxy_p10_or_lower,XGBoost_G4_se4_load_weather,10384,28.891908313653875,43.47232891726794,-2.154842856348079,0.9266812371924658
weekday,ExtraTrees_G4_se4_load_weather,67584,18.66007922112566,25.389733414219947,1.4432132630024492,0.973779716304706
weekday,LightGBM_G4_se4_load_weather,67584,18.09839875783257,24.853356831757424,0.8051783897517978,0.9748758594100714
weekday,XGBoost_G4_se4_load_weather,67584,18.429954751583296,28.580562176524662,2.9859156452163154,0.9667751798595665
weekend,ExtraTrees_G4_se4_load_weather,27181,18.487478136410314,25.15668513146033,2.1817183458666123,0.9709797339554256
weekend,LightGBM_G4_se4_load_weather,27181,16.718643499405776,22.809596022789528,0.8028001561564299,0.9761422354257949
weekend,XGBoost_G4_se4_load_weather,27181,17.38539698912154,25.24981456387317,3.3077022199023585,0.9707644716149161
holiday,ExtraTrees_G4_se4_load_weather,4224,20.64919441734466,27.154623728480917,6.963757678152567,0.9642940301508806
holiday,LightGBM_G4_se4_load_weather,4224,21.663141243193024,29.52996899026248,8.743343106175129,0.9577740686684734
holiday,XGBoost_G4_se4_load_weather,4224,22.416098734438872,34.51160749814565,8.365290408836557,0.9423255273290225
morning_ramp_06_09,ExtraTrees_G4_se4_load_weather,15796,19.95234727317261,26.772007901079373,6.57355688850777,0.9725544494148933
morning_ramp_06_09,LightGBM_G4_se4_load_weather,15796,18.607417459039866,24.980173605412535,5.626376725966377,0.9761053340654651
morning_ramp_06_09,XGBoost_G4_se4_load_weather,15796,19.723639264236965,29.35659376757898,7.792919775893971,0.9669994342808382
evening_peak_16_20,ExtraTrees_G4_se4_load_weather,19745,18.237044966106026,24.96680432754729,0.8415565069892424,0.9751913236644941
evening_peak_16_20,LightGBM_G4_se4_load_weather,19745,17.846407012537654,24.79262673286491,1.123047464579401,0.9755362651051703
evening_peak_16_20,XGBoost_G4_se4_load_weather,19745,17.36093730636059,26.840405911942906,3.6479555104347376,0.9713281420135339
summer_low_load_months,ExtraTrees_G4_se4_load_weather,24277,10.727051455180284,13.509430257524837,3.2055540336367936,0.9579694298859935
summer_low_load_months,LightGBM_G4_se4_load_weather,24277,10.734664170977519,13.787347054662312,3.0269004041673404,0.9562223314031383
summer_low_load_months,XGBoost_G4_se4_load_weather,24277,10.762939278749677,13.770537263412852,3.287644522757713,0.9563290154316244
winter_high_load_months,ExtraTrees_G4_se4_load_weather,23760,26.7130980746236,33.58244342920104,-5.210067654230526,0.9219846320962268
winter_high_load_months,LightGBM_G4_se4_load_weather,23760,25.526659310281723,33.622457923190666,-7.168772821712404,0.9217986060077082
winter_high_load_months,XGBoost_G4_se4_load_weather,23760,22.891213166812697,29.613402669520994,-3.942742093769315,0.9393358382132977
