forecast_origin_timestamp_utc,input_data_cutoff_utc,target_timestamp_utc,horizon_h,split,target_consumption_se4_mw,weather_proxy_label,pred_ExtraTrees_G4_calendar_load_lags_rollups_weather_proxy,pred_LightGBM_G4_calendar_load_lags_rollups_weather_proxy,pred_XGBoost_G4_calendar_load_lags_rollups_weather_proxy
2022-06-05T23:00:00Z,2022-06-05T22:00:00Z,2022-06-06T00:00:00Z,1,train,1622.953351,weather_actual_as_forecast_proxy,,,
2022-06-05T23:00:00Z,2022-06-05T22:00:00Z,2022-06-06T02:00:00Z,3,train,1576.521349,weather_actual_as_forecast_proxy,,,
2022-06-05T23:00:00Z,2022-06-05T22:00:00Z,2022-06-06T05:00:00Z,6,train,1743.136665,weather_actual_as_forecast_proxy,,,
2022-06-05T23:00:00Z,2022-06-05T22:00:00Z,2022-06-06T11:00:00Z,12,train,2149.29192,weather_actual_as_forecast_proxy,,,
2022-06-05T23:00:00Z,2022-06-05T22:00:00Z,2022-06-06T23:00:00Z,24,train,1747.676384,weather_actual_as_forecast_proxy,,,
2022-06-05T23:00:00Z,2022-06-05T22:00:00Z,2022-06-07T23:00:00Z,48,train,1797.259733,weather_actual_as_forecast_proxy,,,
2022-06-05T23:00:00Z,2022-06-05T22:00:00Z,2022-06-08T23:00:00Z,72,train,1812.158832,weather_actual_as_forecast_proxy,,,
2022-06-05T23:00:00Z,2022-06-05T22:00:00Z,2022-06-09T23:00:00Z,96,train,1778.466376,weather_actual_as_forecast_proxy,,,
2022-06-05T23:00:00Z,2022-06-05T22:00:00Z,2022-06-10T23:00:00Z,120,train,1702.125117,weather_actual_as_forecast_proxy,,,
2022-06-05T23:00:00Z,2022-06-05T22:00:00Z,2022-06-11T23:00:00Z,144,train,1672.980655,weather_actual_as_forecast_proxy,,,
2022-06-05T23:00:00Z,2022-06-05T22:00:00Z,2022-06-12T23:00:00Z,168,train,1769.863853,weather_actual_as_forecast_proxy,,,
2022-06-06T00:00:00Z,2022-06-05T23:00:00Z,2022-06-06T01:00:00Z,1,train,1619.572661,weather_actual_as_forecast_proxy,,,
2022-06-06T00:00:00Z,2022-06-05T23:00:00Z,2022-06-06T03:00:00Z,3,train,1576.955406,weather_actual_as_forecast_proxy,,,
2022-06-06T00:00:00Z,2022-06-05T23:00:00Z,2022-06-06T06:00:00Z,6,train,1853.349359,weather_actual_as_forecast_proxy,,,
2022-06-06T00:00:00Z,2022-06-05T23:00:00Z,2022-06-06T12:00:00Z,12,train,2144.245051,weather_actual_as_forecast_proxy,,,
2022-06-06T00:00:00Z,2022-06-05T23:00:00Z,2022-06-07T00:00:00Z,24,train,1743.611114,weather_actual_as_forecast_proxy,,,
2022-06-06T00:00:00Z,2022-06-05T23:00:00Z,2022-06-08T00:00:00Z,48,train,1760.395948,weather_actual_as_forecast_proxy,,,
2022-06-06T00:00:00Z,2022-06-05T23:00:00Z,2022-06-09T00:00:00Z,72,train,1798.883339,weather_actual_as_forecast_proxy,,,
2022-06-06T00:00:00Z,2022-06-05T23:00:00Z,2022-06-10T00:00:00Z,96,train,1753.196007,weather_actual_as_forecast_proxy,,,
2022-06-06T00:00:00Z,2022-06-05T23:00:00Z,2022-06-11T00:00:00Z,120,train,1667.878771,weather_actual_as_forecast_proxy,,,
2022-06-06T00:00:00Z,2022-06-05T23:00:00Z,2022-06-12T00:00:00Z,144,train,1660.956716,weather_actual_as_forecast_proxy,,,
2022-06-06T00:00:00Z,2022-06-05T23:00:00Z,2022-06-13T00:00:00Z,168,train,1750.733892,weather_actual_as_forecast_proxy,,,
2022-06-06T01:00:00Z,2022-06-06T00:00:00Z,2022-06-06T02:00:00Z,1,train,1576.521349,weather_actual_as_forecast_proxy,,,
2022-06-06T01:00:00Z,2022-06-06T00:00:00Z,2022-06-06T04:00:00Z,3,train,1630.640654,weather_actual_as_forecast_proxy,,,
2022-06-06T01:00:00Z,2022-06-06T00:00:00Z,2022-06-06T07:00:00Z,6,train,1963.447564,weather_actual_as_forecast_proxy,,,
2022-06-06T01:00:00Z,2022-06-06T00:00:00Z,2022-06-06T13:00:00Z,12,train,2114.777157,weather_actual_as_forecast_proxy,,,
