regime,prediction_column,row_count,MAE,RMSE,bias,median_absolute_error,p90_absolute_error,p95_absolute_error,sMAPE,R2
cold_hours,pred_HGB_no_price,3219,284.13016158551835,346.8801099160176,-240.29459062835508,260.3509521081505,572.193654088997,640.3010587008414,0.0940780259825185,0.1757510486488132
cold_hours,pred_HGB_with_p0054n_exact_dayahead_advanced_price,3219,295.46695707165964,360.15660358168185,-251.8092711720364,269.86542447239117,595.2947834970951,661.5852857360954,0.09804567384480757,0.11144897698514167
cold_hours,pred_ExtraTrees_no_price,3219,340.3035166308909,404.2552383978534,-321.4434066554469,332.95970914646705,637.3181993708539,698.4075168480251,0.11441556453080734,-0.11946603004308742
cold_hours,pred_ExtraTrees_with_p0054n_exact_dayahead_advanced_price,3219,336.12534149395213,399.1952916398385,-317.3979375925113,330.3115326977013,629.9901666111292,704.8933719111552,0.1127961643544038,-0.09161734485871031
cold_hours,pred_LightGBM_no_price,3219,318.59076999852914,376.39624502450863,-297.91163646444744,317.7048502564562,592.271189673373,647.236149744564,0.10706655101351269,0.029511996269272922
cold_hours,pred_LightGBM_with_p0054n_exact_dayahead_advanced_price,3219,307.26142946352167,362.7064214741341,-282.75026367035923,297.2927737874111,570.7391897387926,628.1985405472172,0.10300629226427763,0.09882300613962824
cold_hours,pred_XGBoost_no_price,3219,291.2028223468531,349.16514839380824,-263.08629449635566,273.6196607656252,564.1518701687502,615.9481435890627,0.09693539548061465,0.1648559641253723
cold_hours,pred_XGBoost_with_p0054n_exact_dayahead_advanced_price,3219,300.29961474951585,364.1391848962495,-268.2935879377633,275.45866665625,592.3776655218751,655.4181859109378,0.09978213450503509,0.0916892828051239
very_cold_hours,pred_HGB_no_price,1288,418.7763601716511,463.0666866677749,-411.1473292994504,451.47468144297227,658.3991510558083,700.3224343941677,0.13329719968173817,-2.353126079996576
very_cold_hours,pred_HGB_with_p0054n_exact_dayahead_advanced_price,1288,437.43176854412735,481.6694162735023,-431.3340529424368,472.6392551607387,681.2878883733551,726.8823133172546,0.13975194814563197,-2.627947128301852
very_cold_hours,pred_ExtraTrees_no_price,1288,469.20554247772344,513.5631091206194,-465.7583296710648,504.5782755728401,716.259747597991,764.519803114513,0.15081717764025898,-3.1243018692868194
very_cold_hours,pred_ExtraTrees_with_p0054n_exact_dayahead_advanced_price,1288,476.4523576155397,517.3023069357264,-473.87867541684847,507.02304704907897,725.2359629837815,778.6599210464499,0.1535370680366172,-3.184577701795143
very_cold_hours,pred_LightGBM_no_price,1288,444.79356426525504,477.0515107084018,-443.76900345061375,465.8582409378439,651.6885663160997,695.837624994477,0.14293801057908345,-2.5587162150007576
very_cold_hours,pred_LightGBM_with_p0054n_exact_dayahead_advanced_price,1288,430.933071090722,464.44077867312023,-428.2795261782894,454.8520190062618,642.0472668414876,681.1159304473497,0.1380840703504436,-2.3730555630083643
very_cold_hours,pred_XGBoost_no_price,1288,415.8840137889544,452.6272956249977,-411.9610110467667,443.61178771875007,628.0014634390625,667.7088972343747,0.13260291640552935,-2.2036442754022776
very_cold_hours,pred_XGBoost_with_p0054n_exact_dayahead_advanced_price,1288,444.16144151021524,484.06350981910487,-441.0917663587207,478.4926178046876,671.9588927109376,722.3617297429685,0.1422694247859847,-2.6641015118226448
weekday,pred_HGB_no_price,9180,156.207250176178,220.0021666535813,-79.43677364535225,101.56830442657292,382.83144769755256,495.36785353416,0.062091632971520594,0.8197953128204795
weekday,pred_HGB_with_p0054n_exact_dayahead_advanced_price,9180,159.13136963369237,225.357786632429,-82.60487061930188,103.50760256952981,390.678275329801,518.8363916068831,0.06302601995934595,0.8109149014783699
weekday,pred_ExtraTrees_no_price,9180,174.06844707254947,249.42348215163094,-92.7343282056808,107.52101267966293,465.4789345641698,575.6271409414264,0.06862661878303015,0.7683742475558262
weekday,pred_ExtraTrees_with_p0054n_exact_dayahead_advanced_price,9180,169.59122955826174,242.52662444639975,-90.29803079662886,107.24417681341322,445.40179885105215,557.733855980914,0.06689332289391918,0.7810066075002141
weekday,pred_LightGBM_no_price,9180,170.78085523623471,237.23312493231415,-108.39589058126106,105.24204473863574,426.39734049509383,534.1908921922312,0.06792531330010283,0.7904619845894926
weekday,pred_LightGBM_with_p0054n_exact_dayahead_advanced_price,9180,165.17998723065708,227.91048195858104,-101.40453130664999,107.63871294904129,407.33354887468187,516.1269590994447,0.06572819570398591,0.8066069930083545
weekday,pred_XGBoost_no_price,9180,159.7184694161121,222.5287630622117,-89.25354507567806,104.82514324999988,401.6488340734378,505.1223453914052,0.06349464816015962,0.8156324541027805
weekday,pred_XGBoost_with_p0054n_exact_dayahead_advanced_price,9180,163.53472067881222,228.26264884688467,-88.48199297691986,107.5883347265626,399.40080546093776,518.5736390374997,0.06502210910934272,0.806008870166283
weekend,pred_HGB_no_price,3694,135.44959105757184,183.06178879641178,-28.519378458873383,104.28508946968464,286.8925042932867,385.0448037821985,0.05991660020424286,0.8690535665261034
weekend,pred_HGB_with_p0054n_exact_dayahead_advanced_price,3694,139.59622518245135,189.0589212456809,-31.758263784813188,104.39595158873578,307.71422277213543,400.1686201349362,0.06142958517872373,0.860333380451171
weekend,pred_ExtraTrees_no_price,3694,154.5410276040423,210.24953733692186,-70.67207517862474,109.37937604763454,353.169911721886,431.2813001183373,0.06780882170919307,0.8272697632526288
weekend,pred_ExtraTrees_with_p0054n_exact_dayahead_advanced_price,3694,153.81355365033275,209.90709501917868,-65.04578301284616,111.04022225332653,348.7294141531118,448.3687388941171,0.06721238647897931,0.8278319711242337
weekend,pred_LightGBM_no_price,3694,151.02789597471363,206.49498673542317,-67.04425457208771,103.56456895280621,342.18232955528015,433.3324845103783,0.06611716817394821,0.8333837731096523
weekend,pred_LightGBM_with_p0054n_exact_dayahead_advanced_price,3694,146.7816440688295,198.00162778653396,-55.32598727623814,108.62999475453216,325.96558319472865,420.5095536448283,0.06444579920369413,0.84680810375882
weekend,pred_XGBoost_no_price,3694,138.96574309445208,187.14990769148648,-42.74553271568341,103.26703153515632,299.07933594609415,390.6028277210937,0.06139003485535105,0.8631396944719711
weekend,pred_XGBoost_with_p0054n_exact_dayahead_advanced_price,3694,145.4396743268541,198.44152610506907,-42.1465322712867,107.7998490468749,319.4753047500001,433.2152451015627,0.06394791263522519,0.846126657682711
holiday,pred_HGB_no_price,563,120.11213329748284,155.9165109014381,66.88708900306658,84.9465062239417,268.2863763598421,316.1269927015291,0.05344194678942705,0.8892282812211734
holiday,pred_HGB_with_p0054n_exact_dayahead_advanced_price,563,120.70929933332195,154.43568799330092,53.21234411077327,92.83208861585899,270.87603158707384,308.5416818280627,0.05366267511810859,0.891322406360263
holiday,pred_ExtraTrees_no_price,563,146.44087530068848,184.1415717087171,-51.37166724623173,117.98252529789738,310.6865160321678,351.6801156383511,0.06449165050809896,0.8454929250897734
holiday,pred_ExtraTrees_with_p0054n_exact_dayahead_advanced_price,563,138.04102390011414,173.30800249864978,-32.77619633624941,114.41300949264428,285.7170770259014,335.27552541408505,0.06127410229076489,0.8631383054970961
holiday,pred_LightGBM_no_price,563,126.76558943464326,165.7039690407344,-8.107405531374171,97.47179334904877,276.27749951406594,325.5575667107483,0.0557906948311258,0.874884677025784
