scenario,seed,model,MAE_full_36h,RMSE_full_36h,bias_full_36h,p90_full_36h,p95_full_36h,full36_MAE_percent_of_mean_actual,full36_MAE_percent_of_median_actual,hourly_MAE_delivery_day,hourly_RMSE_delivery_day,bias_delivery_day,hourly_MAE_percent_of_mean_actual,hourly_MAE_percent_of_median_actual,absolute_daily_energy_error_MWh,signed_daily_energy_error_MWh,daily_energy_error_percent_of_actual,peak_hour_error_MW,peak_hour_timing_error_hours,morning_ramp_MAE,evening_peak_MAE
uniform_pm2c_train_and_holdout,1000,HGB_no_price,159.55400397058577,224.4663313024307,-76.43741446066923,393.7752471927679,516.3592020708888,6.782419342979655,7.104857349985354,158.71959345502592,223.45512261456,-65.81746785602301,6.827829390914698,7.113782317194074,3485.083360013943,-1579.6192285445547,5.928710974208695,-165.03436650054212,2.758426966292135,173.59602902333452,188.5457448546283
uniform_pm2c_train_and_holdout,1000,LightGBM_no_price,160.37889100836844,222.59135584311935,-87.95644209788563,389.43050720128474,503.2293705255172,6.817484146504496,7.141589143531432,156.9597085155315,218.27228856146652,-75.56631856283533,6.7521223288378724,7.034904605310198,3512.3348118469985,-1813.591645508057,5.967983820316097,-170.95085500043834,2.747191011235955,161.82099145672004,193.2221254357069
uniform_pm2c_train_and_holdout,1000,LightGBM_with_p0054n_exact_dayahead_advanced_price,168.65838650936047,234.73959043868447,-95.65400470353784,416.0597562651424,533.490168245754,7.169434013249261,7.510270799901764,167.0131188515007,233.0924330419112,-88.26902994482494,7.184601829803245,7.485496565122513,3772.5734766706546,-2118.456718675801,6.314586504965538,-181.0123331495094,2.893258426966292,173.92131172753525,197.91666746182077
uniform_pm2c_train_and_holdout,1000,XGBoost_no_price,167.4902703150265,236.28896076310482,-91.84774934351164,419.9646374164061,546.7642465085937,7.119779014476814,7.458255189372299,165.98000074612446,234.5334379536511,-81.6708305575606,7.1401589603967475,7.439192406010102,3690.9335963628864,-1960.099933381452,6.191828937296948,-180.354366049311,2.837078651685393,181.8836781773722,198.5661287656471
uniform_pm2c_train_and_holdout,1001,HGB_no_price,156.6625764616585,220.51367131645225,-73.26771936959948,379.4440691006792,510.36320520841247,6.659508771152281,6.976103577108936,155.79597132068895,219.26854317462306,-62.25311008741157,6.702060462818174,6.9827461231825465,3376.24762415134,-1494.0746420978787,5.759563736319866,-162.87661136348677,2.75561797752809,170.72909517290125,187.03541510607744
uniform_pm2c_train_and_holdout,1001,LightGBM_no_price,163.83095525402962,227.05831154177406,-98.02541374909298,398.88012374493354,510.5161010579002,6.964226608180965,7.295307780595088,160.0288233956907,222.675396073096,-86.17083500466849,6.884150091300499,7.172461756816513,3557.62828125042,-2068.1000401120477,5.981033768982377,-185.383311476097,2.853932584269663,168.67642553584335,197.99083143500633
uniform_pm2c_train_and_holdout,1001,LightGBM_with_p0054n_exact_dayahead_advanced_price,165.714712580843,229.11594426841467,-88.82431338631982,401.8281513194615,519.2982253444378,7.044302518611982,7.3791905209584465,165.07212590491602,228.7636898595669,-80.44002518242021,7.101103829337384,7.39850162643446,3704.6067393515123,-1930.560604378079,6.249087733482159,-168.1889424790385,2.640449438202247,169.97912877241757,190.6980127259337
uniform_pm2c_train_and_holdout,1001,XGBoost_no_price,162.15296620426085,227.01384989724107,-82.90443425841734,400.6612942218751,516.6326376648437,6.892897621723454,7.2205877952812605,161.20583718483383,225.91412596996324,-72.85465474670755,6.934783092356543,7.225215293402861,3539.635220749583,-1748.5117139209754,5.988193916486133,-169.9753860770717,2.7724719101123596,175.6078489362709,192.12264986167946
uniform_pm2c_train_and_holdout,1002,HGB_no_price,152.10682004165878,213.39367037799568,-69.80105941808463,367.53208981465195,488.0835762436293,6.465849886411249,6.773238097836194,151.92907511623758,212.80385295688114,-58.170270055132995,6.535713592960227,6.809432562815814,3223.541037900572,-1396.0864813231938,5.515865309818672,-162.0021027015247,2.6797752808988764,162.3878694098348,180.959476819708
uniform_pm2c_train_and_holdout,1002,LightGBM_no_price,165.83041944132412,230.38418920915603,-92.30406887765722,404.50276388306605,518.6749364139151,7.049221056718913,7.384342887666113,163.02806396086095,227.0782526595813,-80.81887672726242,7.01317198730917,7.306887154671157,3674.7836530005948,-1939.653041454303,6.212762967755183,-174.74096200127735,2.702247191011236,170.43133380099394,195.37334191359878
uniform_pm2c_train_and_holdout,1002,LightGBM_with_p0054n_exact_dayahead_advanced_price,161.70624061844282,225.84989406463086,-88.44027429390682,397.725108529577,513.6919001455044,6.8739079368590446,7.200695335782652,160.5587126598351,224.6788149090815,-79.22106914335727,6.906944967553004,7.1962112939422465,3598.473311030861,-1901.305659440574,6.062373485949357,-172.31422734638062,2.710674157303371,169.53250276812977,189.5028278490676
uniform_pm2c_train_and_holdout,1002,XGBoost_no_price,157.47072032103327,220.71796446317128,-80.85924824917274,388.0316611984369,502.07230977265533,6.69386184539255,7.012089805572265,156.71646883369402,219.93580802288503,-70.30860032095008,6.74165859835234,7.024002648533288,3418.0521067422505,-1687.406407702796,5.785981742669807,-169.8035858279934,2.797752808988764,170.73706872082366,188.900345250742
uniform_pm2c_train_and_holdout,1003,HGB_no_price,150.01697317339784,210.78576825084318,-65.60482797440717,359.6958475031516,482.01775181939314,6.377013395502681,6.68017829668545,149.17822999871424,209.48147523279744,-53.6479430965158,6.417377219142573,6.686140202191654,3162.3931832762196,-1287.550634316381,5.438597934201218,-157.04071186744576,2.8230337078651684,163.5847218521697,179.96102007506485
uniform_pm2c_train_and_holdout,1003,LightGBM_no_price,158.46282553604794,221.97752701197,-81.29504439718397,388.1745626479793,504.41165595012944,6.736034861632412,7.05626773814333,155.81884033118587,219.13001648479798,-70.69682164636004,6.703044246222686,6.98377110793045,3467.6391735622037,-1696.7237195126372,5.88256483003372,-164.19403822031452,2.845505617977528,163.0145543939399,186.88291181932345
uniform_pm2c_train_and_holdout,1003,LightGBM_with_p0054n_exact_dayahead_advanced_price,171.05308635682246,238.3947684748928,-95.90970410958002,419.6738423926252,543.2857204895871,7.271229381349524,7.616905546688724,169.0901055712114,235.89627504816028,-86.66345439555889,7.273950036037142,7.578586719136242,3794.5406880809187,-2079.9229054934153,6.364381737519597,-183.65759771381934,2.6713483146067416,177.55300062370077,198.87810781363177
uniform_pm2c_train_and_holdout,1003,XGBoost_no_price,163.47818131734073,229.37206895716417,-87.36714706842173,402.43456357656254,526.3427251367186,6.949230677572174,7.279598939484279,161.64382081263432,227.28568484991033,-77.55811914046603,6.953624354620001,7.244845637198762,3590.816936806882,-1861.3948593711816,6.055679354840132,-175.20789916191197,2.831460674157303,177.250484519992,194.5440383175607
uniform_pm2c_train_and_holdout,1004,HGB_no_price,160.17899075116756,227.95710945901104,-75.16996683937215,395.0205457134741,533.9974620584878,6.808986663913237,7.132687688373345,159.1562540665438,226.44700316919594,-63.649227839242755,6.846613739414314,7.133353363649101,3446.061066993894,-1527.5814681418235,5.848845717603613,-165.4774521280368,2.808988764044944,174.47979748544967,190.50491387034944
uniform_pm2c_train_and_holdout,1004,LightGBM_no_price,169.68294272141816,236.8269452356801,-100.05977843521678,419.19542534794016,537.2565035410734,7.21298647635079,7.555893758602651,166.35681879359484,232.54975747765386,-88.01412981036549,7.156368990195458,7.456081320003281,3719.6025045866886,-2112.339115448768,6.238624174651325,-190.59776938507562,2.893258426966292,174.71413372334015,204.91518112648313
uniform_pm2c_train_and_holdout,1004,LightGBM_with_p0054n_exact_dayahead_advanced_price,168.7299410552874,233.20710741868118,-95.94032930062139,413.02203763672196,527.5796484093925,7.172475697721577,7.513457086857292,167.63184425113343,232.04815785348438,-87.04038397369591,7.2112182756783705,7.513227721127226,3753.718787398419,-2088.969215368692,6.303337245392783,-181.3751062932045,2.747191011235955,173.04970334360198,194.1529798657012
uniform_pm2c_train_and_holdout,1004,XGBoost_no_price,161.1933761516652,224.2921832286663,-81.07650973601581,395.09240552499983,509.1282850226554,6.852106779926369,7.177857746091057,160.31734741964812,223.69293282417559,-70.98488008187515,6.896561872151737,7.185393349287454,3521.5307185429906,-1703.6371219649975,5.982240023755629,-171.3369854313335,2.817415730337079,175.45420951755054,192.38845170865102
uniform_pm2c_train_and_holdout,1005,HGB_no_price,154.9154295633728,217.822247549784,-68.99221598711799,372.47560075204274,503.3209921588857,6.585239980504166,6.898304028536795,154.0622560629643,216.13317923639198,-57.12267129617534,6.627479173044875,6.905041331512035,3297.3336364866836,-1370.9441111082033,5.648815947311709,-162.59187862212755,2.856741573033708,169.717211057301,183.79317323987618
uniform_pm2c_train_and_holdout,1005,LightGBM_no_price,165.54190944973607,232.12880266244724,-93.22623853898315,408.62401625637614,528.7008535458376,7.036956897256324,7.37149568682334,162.70713316647954,229.08840714195648,-82.44632682955434,6.999366125898948,7.292503096846812,3647.8079250715227,-1978.7118439093033,6.122378610692222,-174.383615180072,2.651685393258427,174.19224302792614,195.8846010176079
uniform_pm2c_train_and_holdout,1005,LightGBM_with_p0054n_exact_dayahead_advanced_price,174.26619206432733,243.4168371247342,-101.34384062887153,429.4058569624916,558.3367751957117,7.407814047100921,7.7599834835260495,172.25579251512133,240.83158925775467,-91.54988331774446,7.410132153742653,7.720472212370823,3876.1956241876783,-2197.1971996258685,6.4799607004825,-188.53201251512047,2.6123595505617976,182.583218957205,202.1948114757201
uniform_pm2c_train_and_holdout,1005,XGBoost_no_price,162.37972758257118,229.0475724653898,-82.8010930765671,402.8551126984376,528.3684765546874,6.902536933305859,7.230685362282324,161.50913711883,228.40003005139317,-73.19708666164783,6.947830506091184,7.238809139381805,3559.835143566691,-1756.7300798795427,6.010052516378995,-169.96464148931275,2.7780898876404496,178.43480619858224,190.54609847234934
uniform_pm2c_train_and_holdout,1006,HGB_no_price,156.30929973992562,220.17087069631194,-77.21029807054978,378.2433382889379,511.0343525070974,6.644491467848834,6.9603723472399235,154.6037174973226,217.8702455632037,-65.08146916182163,6.650771863097072,6.929309531129571,3311.3032281365668,-1561.9552598837158,5.6288687602296354,-171.37029780590893,2.8623595505617976,167.65326398899842,188.06152904765165
uniform_pm2c_train_and_holdout,1006,LightGBM_no_price,163.42036275609922,228.41069068426165,-88.96375265755027,401.77627228913803,518.0452683121632,6.946772890751481,7.277024308828955,160.43525542574278,224.96557702072877,-78.00045991006988,6.901634060984336,7.190677963937437,3588.181550120506,-1872.0110378416753,6.053020110717698,-172.368887751565,2.792134831460674,168.2780922189372,191.35404024975205
uniform_pm2c_train_and_holdout,1006,LightGBM_with_p0054n_exact_dayahead_advanced_price,166.48632960654146,232.62484626066603,-94.97618434766846,412.2179117238544,533.9924592548527,7.077102887830133,7.41355022839279,164.78547029600088,230.60151733709844,-85.84347554730739,7.088772424316642,7.385653775974189,3677.267657503044,-2060.243413135375,6.168133542706072,-183.1797074855891,2.8146067415730336,171.5972624344625,197.16456392457175
uniform_pm2c_train_and_holdout,1006,XGBoost_no_price,162.99504484424193,227.24834412668102,-85.21937128601675,400.7745467593747,516.2315754976562,6.928693216406057,7.258085121989765,161.70265259049592,226.1512252087886,-75.20508028118805,6.956155191130222,7.247482466413924,3575.3872610989733,-1804.9219267485078,6.046961648165232,-172.6977999009174,2.691011235955056,177.49071853592426,192.19193768001253
uniform_pm2c_train_and_holdout,1007,HGB_no_price,156.1681044105217,220.71066323008236,-72.3495921198274,377.8359537298799,511.8590652600613,6.638489450290791,6.954084992181858,155.25399296925738,219.26127393963102,-60.41992717391304,6.678745535929878,6.958454755439041,3347.14393397072,-1450.078252173915,5.7124453434035605,-163.70348640531284,2.856741573033708,170.17596182500048,185.91686768695084
uniform_pm2c_train_and_holdout,1007,LightGBM_no_price,165.64170603027762,230.97279254540697,-94.43451591515311,407.8831472556754,521.3592949478552,7.041199111437003,7.375939576986666,162.55289328837304,227.37962866352333,-83.25377626391857,6.992731005747352,7.285590094528728,3647.413144679915,-1998.0906303340437,6.139105274573593,-178.49459705210657,2.783707865168539,171.7672900365327,197.52040985478732
