regime,prediction_column,row_count,MAE,RMSE,bias,median_absolute_error,p90_absolute_error,p95_absolute_error,sMAPE,R2
cold_hours,pred_HGB_no_price,3198,1179.3825895794403,1425.168570856657,-1013.2954477692085,1093.9977619186093,2322.9579702424303,2557.338003275732,0.09477753686080714,0.22753551023022134
cold_hours,pred_HGB_with_p0054n_exact_dayahead_advanced_price,3198,1229.4670807675209,1476.2224861967914,-1088.3267257242724,1152.7300249828731,2403.7054143580617,2595.10659570253,0.09931412850675377,0.17120011139161595
cold_hours,pred_ExtraTrees_no_price,3198,1306.4465787800702,1564.8311760147533,-1210.0336053577832,1262.7660713052437,2499.7336172382466,2729.4872638927523,0.10545172978649942,0.06871838091265636
cold_hours,pred_ExtraTrees_with_p0054n_exact_dayahead_advanced_price,3198,1328.0781151410915,1585.3938504544374,-1240.801315893776,1310.8511797770152,2508.930117398033,2797.6919200953366,0.10716864777548304,0.04408254922554922
cold_hours,pred_LightGBM_no_price,3198,1155.7992096074179,1373.927608248391,-1049.0458815719528,1107.3642378468248,2178.9324079714224,2387.369331711102,0.09302466786875029,0.28208380171865466
cold_hours,pred_LightGBM_with_p0054n_exact_dayahead_advanced_price,3198,1220.57272048636,1435.0252576477574,-1120.1185913838317,1205.6046295270144,2259.00298293193,2479.132272136305,0.09892007626480256,0.21681359243645093
cold_hours,pred_XGBoost_no_price,3198,1179.477812874583,1411.1300517342986,-1064.9589214694734,1133.58056640625,2249.5490234375,2463.353808593749,0.09505157011950469,0.24267876759298945
cold_hours,pred_XGBoost_with_p0054n_exact_dayahead_advanced_price,3198,1261.279602547002,1516.1518342040752,-1128.8462781303747,1188.060546875,2449.64853515625,2699.901416015625,0.10152362167100393,0.12575845124804796
very_cold_hours,pred_HGB_no_price,1281,1653.467269545406,1833.263197715517,-1617.574119307274,1745.8153966504342,2610.8977171704355,2764.3740882756574,0.12678734676988906,-2.092939158122969
very_cold_hours,pred_HGB_with_p0054n_exact_dayahead_advanced_price,1281,1660.8545118962813,1837.1080895888515,-1626.229742084354,1760.3187590360358,2609.90851950455,2741.1524985574197,0.1273968782573267,-2.1059263682257887
very_cold_hours,pred_ExtraTrees_no_price,1281,1809.6558357342105,1996.541849254192,-1793.025611450357,1938.6442397340325,2810.250183882479,2990.556438522899,0.13953442188403592,-2.6684159432844856
