regime,prediction_column,row_count,MAE,RMSE,bias,median_absolute_error,p90_absolute_error,p95_absolute_error,sMAPE,R2
cold_hours,pred_HGB_no_price,3423,341.92291192817635,439.2317413600556,-84.82856597952433,284.5308716447944,715.0090116911267,882.5478266813847,0.029269857670390576,0.942727627190921
cold_hours,pred_ExtraTrees_no_price,3423,344.34274606706936,436.7309137764271,-183.24503763334147,290.4302073852032,697.0225059913341,846.1392638380153,0.028423802582483008,0.9433779471516643
cold_hours,pred_LightGBM_no_price,3423,315.557036806725,403.00637598020023,-105.45166964481251,257.06534942280996,660.636283900026,796.5970018736245,0.027099186937787498,0.9517850660110003
cold_hours,pred_XGBoost_no_price,3423,312.19671320007427,396.09951393686606,-101.26240783091096,259.23828125,644.512109375,789.6165039062488,0.02680958123465638,0.9534235524655366
cold_hours,pred_WeightedEnsemble_no_price,3423,313.93303317808426,397.1238475523133,-117.33707132115863,264.8877842646507,640.4525124319562,771.1893014212969,0.026663755400460856,0.9531823428238373
cold_hours,pred_MedianEnsemble_no_price,3423,316.9655088998543,400.84424010690503,-113.0141758406551,268.30109587125844,651.047198302991,782.1439744208958,0.027024101687676987,0.9523010260579058
cold_hours,pred_ResidualCorrection_XGBoost_no_price,3423,338.6358212525368,429.6919080565998,181.67815808396855,282.3980118136278,699.1477866378893,866.5379223985934,0.02878417593082215,0.9451884488788133
cold_hours,pred_HorizonSpecialized_HGB_no_price,3423,429.0110749828098,588.1958658156899,-94.87366206447027,331.12494545744266,880.1194820465576,1129.0972813946798,0.036621941767979206,0.8972926136709903
cold_hours,pred_HorizonBiasCorrected_WeightedEnsemble_no_price,3423,292.8849409832215,378.18616127180286,-38.972975349287495,232.07067783733146,618.9743639917197,760.2082370656148,0.024999196033479037,0.9575410736549868
very_cold_hours,pred_HGB_no_price,1303,334.76075946185335,422.6606504703147,-138.49116501153574,282.97494580824605,701.4841830064129,841.1097269021451,0.024828849273109018,0.8365154180791694
very_cold_hours,pred_ExtraTrees_no_price,1303,384.07713169650305,488.2437280656344,-272.82787411343213,318.9961648228291,800.7810259275956,973.0174180772943,0.028501120635499644,0.7818443259855379
very_cold_hours,pred_LightGBM_no_price,1303,307.84641152445,396.33723379398845,-156.00331644627803,250.2492935881328,648.0581583246556,822.1825753965568,0.023018001506005657,0.856245014654607
very_cold_hours,pred_XGBoost_no_price,1303,310.6915411550268,392.955334567851,-139.3784830479343,260.7451171875,630.978515625,757.8547851562498,0.023171695016346628,0.8586878367688822
very_cold_hours,pred_WeightedEnsemble_no_price,1303,320.357604601793,406.00657417006073,-174.5166260089812,269.0721172092926,662.9642156734375,792.2605376246746,0.023828576106652486,0.8491451426312484
very_cold_hours,pred_MedianEnsemble_no_price,1303,319.82238044193747,405.1456527332135,-170.671953462134,270.3996233772741,661.5041221236338,794.4710279446736,0.023804930713963057,0.8497842282628356
very_cold_hours,pred_ResidualCorrection_XGBoost_no_price,1303,348.2009343146042,433.91615108803205,220.4165001960132,288.94502871624536,715.9621793263594,853.9783516577886,0.025600412277099638,0.8276922553057545
very_cold_hours,pred_HorizonSpecialized_HGB_no_price,1303,481.47367666625655,585.8715668640225,-287.2253176706471,421.84425227024985,940.3335879605911,1108.0337338888344,0.03588909147188237,0.685878248675573
very_cold_hours,pred_HorizonBiasCorrected_WeightedEnsemble_no_price,1303,288.5090806567859,374.6980811178633,-95.7813803494845,221.18633389417664,618.8009813629014,759.151351621549,0.021410604341765917,0.8715139124469602
weekday,pred_HGB_no_price,9436,273.10749156042226,364.59747605338833,-78.32444189380706,212.04071724523328,578.1692795837735,718.0178016040963,0.027951940922106348,0.9707835214185772
