delivery_day_local,forecast_origin_timestamp_utc,target_hours,first_target_timestamp_utc,last_target_timestamp_utc,pred_HGB_no_price_hourly_MAE_delivery_day,pred_HGB_no_price_absolute_daily_energy_error_MWh,pred_ExtraTrees_no_price_hourly_MAE_delivery_day,pred_ExtraTrees_no_price_absolute_daily_energy_error_MWh,pred_LightGBM_no_price_hourly_MAE_delivery_day,pred_LightGBM_no_price_absolute_daily_energy_error_MWh,pred_XGBoost_no_price_hourly_MAE_delivery_day,pred_XGBoost_no_price_absolute_daily_energy_error_MWh,pred_WeightedEnsemble_no_price_hourly_MAE_delivery_day,pred_WeightedEnsemble_no_price_absolute_daily_energy_error_MWh,pred_MedianEnsemble_no_price_hourly_MAE_delivery_day,pred_MedianEnsemble_no_price_absolute_daily_energy_error_MWh,pred_ResidualCorrection_XGBoost_no_price_hourly_MAE_delivery_day,pred_ResidualCorrection_XGBoost_no_price_absolute_daily_energy_error_MWh,pred_HorizonSpecialized_HGB_no_price_hourly_MAE_delivery_day,pred_HorizonSpecialized_HGB_no_price_absolute_daily_energy_error_MWh,pred_HorizonBiasCorrected_WeightedEnsemble_no_price_hourly_MAE_delivery_day,pred_HorizonBiasCorrected_WeightedEnsemble_no_price_absolute_daily_energy_error_MWh,pred_DayAheadSpecialized_HGB_no_price_hourly_MAE_delivery_day,pred_DayAheadSpecialized_HGB_no_price_absolute_daily_energy_error_MWh
2025-06-02,2025-06-01T10:00:00Z,24,2025-06-01T22:00:00Z,2025-06-02T21:00:00Z,209.13639409547548,4988.877322722993,196.08849989060272,4596.81326557417,153.29418692666277,3149.9605290322233,266.5104166666667,6396.25,202.2801300326182,4787.261246610643,192.7065927568032,4559.643715048909,376.88920714146934,8018.892843855499,283.28136345475536,6798.752722914129,139.00599121571983,3045.332301205347,262.1697951633941,6292.075083921459
2025-06-03,2025-06-02T10:00:00Z,24,2025-06-02T22:00:00Z,2025-06-03T21:00:00Z,243.98302672945138,1502.4964095381856,235.7989683668925,1063.0220082881206,198.0300119884422,2976.1052086730333,197.55143229166666,2516.9580078125,210.62104352878896,1297.3850716984998,213.95750887722883,1527.003647800102,366.8764178228626,8251.520426289768,198.06138606104696,1035.7105729205941,202.56683448890828,3039.3140171037967,199.73786617966155,551.3744819266203
2025-06-04,2025-06-03T10:00:00Z,24,2025-06-03T22:00:00Z,2025-06-04T21:00:00Z,391.8795573020099,9405.109375248237,256.52475141293576,6156.594033910458,260.3953376375775,6249.48810330186,296.94464111328125,7102.19775390625,301.43447020471115,7234.4272849130675,287.5889528140009,6902.134867536021,294.08560625501343,7058.054550120322,376.6044385967186,9038.506526321245,233.6684508059126,5492.498339507771,357.9201784494558,8590.08428278694
2025-06-05,2025-06-04T10:00:00Z,24,2025-06-04T22:00:00Z,2025-06-05T21:00:00Z,166.8939946293393,2116.643572379895,155.1138969934323,471.6152023009681,146.13783847414933,451.1316797539239,152.7093302408854,1429.10986328125,143.91537831241055,904.7436288590734,146.62286532874342,858.7092368318317,309.20740380256706,7420.977691261609,155.82084879156403,3026.817543310347,162.8756128256076,837.1853165462235,117.24253155284312,1287.8070524419945
2025-06-06,2025-06-05T10:00:00Z,24,2025-06-05T22:00:00Z,2025-06-06T21:00:00Z,157.72136284378382,459.08733458624465,252.87136678605012,2845.8411889763393,172.16005349693492,1135.647260571146,156.7624308268229,1113.36376953125,168.18080950042165,1131.0976806322315,160.65240570396847,1007.0947916892683,170.60709228487204,2124.969971893439,181.88242641441022,1266.960512883602,199.0844216779253,2873.0266260375256,184.86349451200599,1096.8310968843834
2025-06-07,2025-06-06T10:00:00Z,24,2025-06-06T22:00:00Z,2025-06-07T21:00:00Z,306.82274558423757,7363.745894021702,219.65175712739304,5271.642171057433,197.73506737846165,4745.64161708308,201.9725138346354,4816.79541015625,230.74615710976806,5537.907770634433,227.04733676185967,5449.136082284632,232.68972676279043,3605.691911099587,319.49533597074395,7667.888063297854,169.66282415598627,3795.978825229139,267.95813730216156,6430.995295251878
2025-06-08,2025-06-07T10:00:00Z,24,2025-06-07T22:00:00Z,2025-06-08T21:00:00Z,194.24261270739237,2825.9172634873003,197.98691917240328,3884.8469708935945,132.4140670984785,662.7874049117781,156.38859049479166,391.4853515625,164.65591904728652,1677.0170158490573,168.02465335543613,1778.0266440210025,181.39870760009833,3380.034093113877,344.39490613674866,8265.477747281968,102.8729996275088,64.91192955623683,192.49583233658927,4011.0868663215515
2025-06-09,2025-06-08T10:00:00Z,24,2025-06-08T22:00:00Z,2025-06-09T21:00:00Z,244.92742351192274,1668.8440042295242,254.40742799216966,945.2686161704123,253.27088475566822,2945.4875162449343,200.86431884765625,540.84228515625,221.08607468907783,267.4977586512605,213.43075902702483,34.99274067264287,222.53651862107964,4761.397818872405,253.4207600278202,2058.33919380284,223.1828423899776,2009.4267040565564,252.08472525996672,1955.61898357696
2025-06-10,2025-06-09T10:00:00Z,24,2025-06-09T22:00:00Z,2025-06-10T21:00:00Z,185.03942214337437,1856.381509120457,132.06093791836727,2652.9466206832394,178.44094353953918,1783.1694791043437,130.8016357421875,241.939453125,137.75561595814614,554.985392271853,131.9678563549768,289.3047890005464,343.6449132433947,8247.477917841472,204.77694422755704,1125.1218787890994,126.54487345360617,1186.943553133443,177.06288852942782,611.0070731892092
2025-06-11,2025-06-10T10:00:00Z,24,2025-06-10T22:00:00Z,2025-06-11T21:00:00Z,262.08737949525255,4885.379646406812,211.82093671008423,4128.668661744035,202.80631494392435,311.3391015505558,204.500732421875,3403.029296875,213.60945848121867,3140.6436947093416,207.27198269878275,3438.0944119407295,173.66322933859502,2281.7157136351398,271.9981996762823,3498.728959590625,161.50102664874638,1398.7147493040457,199.86364989022613,3230.108402010819
