model,metric,value
predicted_price_hgb,hourly_MAE_delivery_day,
predicted_price_hgb,hourly_RMSE_delivery_day,
predicted_price_hgb,bias_delivery_day,
predicted_price_hgb,absolute_daily_price_path_error,
predicted_price_hgb,peak_price_timing_error_hours,
predicted_price_extratrees,hourly_MAE_delivery_day,
predicted_price_extratrees,hourly_RMSE_delivery_day,
predicted_price_extratrees,bias_delivery_day,
predicted_price_extratrees,absolute_daily_price_path_error,
predicted_price_extratrees,peak_price_timing_error_hours,
predicted_price_lightgbm,hourly_MAE_delivery_day,
predicted_price_lightgbm,hourly_RMSE_delivery_day,
predicted_price_lightgbm,bias_delivery_day,
predicted_price_lightgbm,absolute_daily_price_path_error,
predicted_price_lightgbm,peak_price_timing_error_hours,
predicted_price_xgboost,hourly_MAE_delivery_day,
predicted_price_xgboost,hourly_RMSE_delivery_day,
predicted_price_xgboost,bias_delivery_day,
predicted_price_xgboost,absolute_daily_price_path_error,
predicted_price_xgboost,peak_price_timing_error_hours,
predicted_price_weightedensemble,hourly_MAE_delivery_day,
predicted_price_weightedensemble,hourly_RMSE_delivery_day,
predicted_price_weightedensemble,bias_delivery_day,
predicted_price_weightedensemble,absolute_daily_price_path_error,
predicted_price_weightedensemble,peak_price_timing_error_hours,
predicted_price_medianensemble,hourly_MAE_delivery_day,
predicted_price_medianensemble,hourly_RMSE_delivery_day,
predicted_price_medianensemble,bias_delivery_day,
predicted_price_medianensemble,absolute_daily_price_path_error,
predicted_price_medianensemble,peak_price_timing_error_hours,
predicted_price_linearstack,hourly_MAE_delivery_day,
predicted_price_linearstack,hourly_RMSE_delivery_day,
predicted_price_linearstack,bias_delivery_day,
predicted_price_linearstack,absolute_daily_price_path_error,
predicted_price_linearstack,peak_price_timing_error_hours,
predicted_price_residualcorrection_lightgbm,hourly_MAE_delivery_day,
predicted_price_residualcorrection_lightgbm,hourly_RMSE_delivery_day,
predicted_price_residualcorrection_lightgbm,bias_delivery_day,
predicted_price_residualcorrection_lightgbm,absolute_daily_price_path_error,
predicted_price_residualcorrection_lightgbm,peak_price_timing_error_hours,
predicted_price_horizonbucket_hgb,hourly_MAE_delivery_day,
predicted_price_horizonbucket_hgb,hourly_RMSE_delivery_day,
predicted_price_horizonbucket_hgb,bias_delivery_day,
predicted_price_horizonbucket_hgb,absolute_daily_price_path_error,
predicted_price_horizonbucket_hgb,peak_price_timing_error_hours,
predicted_price_horizonbiascorrected_weightedensemble,hourly_MAE_delivery_day,
predicted_price_horizonbiascorrected_weightedensemble,hourly_RMSE_delivery_day,
predicted_price_horizonbiascorrected_weightedensemble,bias_delivery_day,
predicted_price_horizonbiascorrected_weightedensemble,absolute_daily_price_path_error,
predicted_price_horizonbiascorrected_weightedensemble,peak_price_timing_error_hours,
predicted_price_dayaheadspecialized_hgb,hourly_MAE_delivery_day,
predicted_price_dayaheadspecialized_hgb,hourly_RMSE_delivery_day,
predicted_price_dayaheadspecialized_hgb,bias_delivery_day,
predicted_price_dayaheadspecialized_hgb,absolute_daily_price_path_error,
predicted_price_dayaheadspecialized_hgb,peak_price_timing_error_hours,
