model,metric,value
HGB,rows,59136
HGB,MAE,0.3080417094017496
HGB,RMSE,0.41415773312261767
HGB,bias,-0.05047513526064345
HGB,median_absolute_error,0.24314069010642814
HGB,p90_absolute_error,0.6310489826927381
HGB,p95_absolute_error,0.7864467294834849
HGB,sMAPE,0.62941235721831
HGB,R2,0.2995623536403551
ExtraTrees,rows,59136
ExtraTrees,MAE,0.307732434030351
ExtraTrees,RMSE,0.41374172564624745
ExtraTrees,bias,-0.03306049393721669
ExtraTrees,median_absolute_error,0.24508564669096922
ExtraTrees,p90_absolute_error,0.6259841746196657
ExtraTrees,p95_absolute_error,0.7873063850273403
ExtraTrees,sMAPE,0.6187374247632932
ExtraTrees,R2,0.300968778922162
LightGBM,rows,59136
LightGBM,MAE,0.314167187937004
LightGBM,RMSE,0.43277507232987955
LightGBM,bias,-0.09306353323720254
LightGBM,median_absolute_error,0.2379098490042716
LightGBM,p90_absolute_error,0.6782765986320458
LightGBM,p95_absolute_error,0.843686481225074
LightGBM,sMAPE,0.6442731956776302
LightGBM,R2,0.23517441859794974
XGBoost,rows,59136
XGBoost,MAE,0.3129010449295325
XGBoost,RMSE,0.42263684180990596
XGBoost,bias,-0.06529393987074708
XGBoost,median_absolute_error,0.2417662058734893
XGBoost,p90_absolute_error,0.6558563129472733
XGBoost,p95_absolute_error,0.8104093101787566
XGBoost,sMAPE,0.6396201100103697
XGBoost,R2,0.2705884515379823
WeightedEnsemble,rows,59136
WeightedEnsemble,MAE,0.3033346421182687
WeightedEnsemble,RMSE,0.41173448211316
WeightedEnsemble,bias,-0.06066363278415794
WeightedEnsemble,median_absolute_error,0.23771853153366357
WeightedEnsemble,p90_absolute_error,0.6300442094038514
WeightedEnsemble,p95_absolute_error,0.7868352093856261
WeightedEnsemble,sMAPE,0.6197767205616681
WeightedEnsemble,R2,0.3077349435122011
MedianEnsemble,rows,59136
MedianEnsemble,MAE,0.30450421011874484
MedianEnsemble,RMSE,0.4131372931346524
MedianEnsemble,bias,-0.06375390992179851
MedianEnsemble,median_absolute_error,0.238917811427027
MedianEnsemble,p90_absolute_error,0.6320968577036699
MedianEnsemble,p95_absolute_error,0.790545868399326
MedianEnsemble,sMAPE,0.6224100387097766
MedianEnsemble,R2,0.30300970708675945
LinearStack,rows,59136
LinearStack,MAE,0.3454233401748934
LinearStack,RMSE,0.47456229473195094
LinearStack,bias,-0.20746671834960415
LinearStack,median_absolute_error,0.2542380624972862
LinearStack,p90_absolute_error,0.7420902293676315
LinearStack,p95_absolute_error,0.9244411208781268
LinearStack,sMAPE,0.7002211950482685
LinearStack,R2,0.08034615910695775
ResidualCorrection_LightGBM,rows,59136
ResidualCorrection_LightGBM,MAE,0.4096278779271312
ResidualCorrection_LightGBM,RMSE,0.5497651642688741
ResidualCorrection_LightGBM,bias,-0.2209254152757477
ResidualCorrection_LightGBM,median_absolute_error,0.3199012577848863
ResidualCorrection_LightGBM,p90_absolute_error,0.862459372625252
ResidualCorrection_LightGBM,p95_absolute_error,1.070305826434487
ResidualCorrection_LightGBM,sMAPE,0.9210641745824544
ResidualCorrection_LightGBM,R2,-0.23421939013956194
HorizonBucket_HGB,rows,59136
HorizonBucket_HGB,MAE,0.3108840573473515
HorizonBucket_HGB,RMSE,0.41881128340145735
HorizonBucket_HGB,bias,-0.06374145146439095
HorizonBucket_HGB,median_absolute_error,0.2436785725547517
HorizonBucket_HGB,p90_absolute_error,0.6436259160152307
HorizonBucket_HGB,p95_absolute_error,0.7904553899697859
HorizonBucket_HGB,sMAPE,0.6366305098051416
HorizonBucket_HGB,R2,0.2837334371332636
HorizonBiasCorrected_WeightedEnsemble,rows,59136
HorizonBiasCorrected_WeightedEnsemble,MAE,0.35183377901923624
HorizonBiasCorrected_WeightedEnsemble,RMSE,0.47591326845276233
HorizonBiasCorrected_WeightedEnsemble,bias,-0.23423076602011722
HorizonBiasCorrected_WeightedEnsemble,median_absolute_error,0.2663333499314162
HorizonBiasCorrected_WeightedEnsemble,p90_absolute_error,0.7507903611827664
HorizonBiasCorrected_WeightedEnsemble,p95_absolute_error,0.9267033432417322
HorizonBiasCorrected_WeightedEnsemble,sMAPE,0.8097569338566724
HorizonBiasCorrected_WeightedEnsemble,R2,0.07510260459796114
DayAheadSpecialized_HGB,rows,0
