model,status,holdout_MAE,weekly_MAE_full_168h,direct_mae_improvement_percent_vs_p0054l2_ensemble,weekly_mae_improvement_percent_vs_p0054l2_ensemble,spearman,top20_168h_precision,bottom20_168h_precision,spike_f1,ramp_f1
HGB,completed,0.3080417094017496,0.3080417094017496,-1.5306259477870043,-1.5306259477870043,0.5984922425482891,0.3963068181818187,0.3727272727272725,0.01086366105377512,0.24482951369480155
ExtraTrees,completed,0.307732434030351,0.307732434030351,-1.4286887065305662,-1.4286887065305662,0.5983748935964608,0.37059659090909103,0.4025568181818182,0.009044657998869417,0.22886133032694478
LightGBM,completed,0.314167187937004,0.314167187937004,-3.5495852345730614,-3.5495852345730614,0.5659957614834716,0.3548295454545453,0.38821022727272736,0.056116722783389444,0.26321353065539116
XGBoost,completed,0.3129010449295325,0.3129010449295325,-3.1322641765330514,-3.1322641765330514,0.5841218660486119,0.39502840909090914,0.403835227272727,0.018952062430323303,0.25504782146652494
WeightedEnsemble,completed,0.3033346421182687,0.3033346421182687,0.020824628819381102,0.020824628819381102,0.6115767115662537,0.39744318181818206,0.409801136363636,0.003484320557491289,0.23751387347391786
MedianEnsemble,completed,0.30450421011874484,0.30450421011874484,-0.3646652822951317,-0.3646652822951317,0.6107262317760902,0.3975852272727274,0.4082386363636358,0.0034602076124567475,0.2448753462603878
LinearStack,completed,0.3454233401748934,0.3454233401748934,-13.851620980301886,-13.851620980301886,0.6039239680831051,0.38423295454545453,0.4103693181818178,0.0,0.39062499999999994
ResidualCorrection_LightGBM,completed,0.4096278779271312,0.4096278779271312,-35.013452991080875,-35.013452991080875,0.35974344790753376,0.3642045454545457,0.32769886363636314,0.0221316249271986,0.28226319135410044
HorizonBucket_HGB,completed,0.3108840573473515,0.3108840573473515,-2.4674645552562047,-2.4674645552562047,0.5834937574594922,0.36761363636363636,0.35383522727272704,0.03510696653867252,0.284496537027171
HorizonBiasCorrected_WeightedEnsemble,completed,0.35183377901923624,0.35183377901923624,-15.964503257608325,-15.964503257608325,0.5910028723891114,0.3994318181818181,0.3589488636363635,0.0036697247706422016,0.26910139356078805
DayAheadSpecialized_HGB,completed,inf,inf,-inf,-inf,,,,,
