model,weather_mode,price_mode,seed,prediction_column,hourly_MAE_delivery_day,hourly_RMSE_delivery_day,bias_delivery_day,hourly_MAE_percent_of_mean_actual,hourly_MAE_percent_of_median_actual,MAE_full_36h,RMSE_full_36h,bias_full_36h,p90_absolute_error,p95_absolute_error,MAE_percent_of_mean_actual,absolute_daily_energy_error_MWh,signed_daily_energy_error_MWh,daily_energy_error_percent_of_actual,duration_seconds
M1_HorizonBiasCorrectedWeightedEnsemble,W0_weatherProxy,P0_noPrice,,pred_HorizonBiasCorrected_WeightedEnsemble_P0_noPrice,624.3881907571396,854.3075728482304,-265.53744104627015,6.462887993090327,6.758362232522145,639.3018518489251,869.4017601655673,-319.83207453496397,1503.00409247273,1953.1361298524582,6.5277063648969165,12819.954733521994,-6372.898585110477,5.245675157562151,5.272
M2_WeightedEnsemble,W0_weatherProxy,P0_noPrice,,pred_WeightedEnsemble_P0_noPrice,624.3881907571396,854.3075728482304,-265.53744104627015,6.462887993090327,6.758362232522145,639.3018518489251,869.4017601655673,-319.83207453496397,1503.00409247273,1953.1361298524582,6.5277063648969165,12819.954733521994,-6372.898585110477,5.245675157562151,5.591
M3_XGBoost,W0_weatherProxy,P0_noPrice,,pred_XGBoost_P0_noPrice,634.078904190088,867.3232936616697,-288.8110194235249,6.563194175073583,6.863254273468683,648.0211775938925,880.7609064500685,-339.17911081442065,1533.6005859375005,1975.8368164062497,6.616736606242883,13096.229517047164,-6931.4644661646,5.344598700349216,5.907
M1_HorizonBiasCorrectedWeightedEnsemble,W0_weatherProxy,P1_p0054l2Price,,pred_HorizonBiasCorrected_WeightedEnsemble_P1_p0054l2Price,650.3174535799811,890.4029931085612,-306.37810515411616,6.73127539030266,7.039019927803881,668.5755495230051,906.7796272487028,-358.4468651358104,1561.2422982138803,2047.6900854025619,6.8266107120038555,13608.226647995272,-7353.074523698761,5.533874439206134,5.664
M2_WeightedEnsemble,W0_weatherProxy,P1_p0054l2Price,,pred_WeightedEnsemble_P1_p0054l2Price,650.3174535799811,890.4029931085612,-306.37810515411616,6.73127539030266,7.039019927803881,668.5755495230051,906.7796272487028,-358.4468651358104,1561.2422982138803,2047.6900854025619,6.8266107120038555,13608.226647995272,-7353.074523698761,5.533874439206134,5.98
M3_XGBoost,W0_weatherProxy,P1_p0054l2Price,,pred_XGBoost_P1_p0054l2Price,665.7937728388355,912.9792595507204,-318.9029273461579,6.89146694964973,7.2065352221765435,683.0284216904856,930.5004543928844,-370.5880635808759,1592.4969726562501,2124.329394531249,6.974184358734037,13843.741293021285,-7653.6702563077915,5.601152758762247,6.296
M1_HorizonBiasCorrectedWeightedEnsemble,W1_tempNoise2C,P0_noPrice,1000,pred_HorizonBiasCorrected_WeightedEnsemble_P0_noPrice,652.3320986253358,896.482187110325,-293.7111458400925,6.752128483725476,7.060826395619925,662.9122517284587,906.0229239623216,-339.11667819838715,1579.2303406053886,2038.0724738161205,6.768784592850828,13927.386849156523,-7049.067500162226,5.653863225476481,5.307
M2_WeightedEnsemble,W1_tempNoise2C,P0_noPrice,1000,pred_WeightedEnsemble_P0_noPrice,652.3320986253358,896.482187110325,-293.7111458400925,6.752128483725476,7.060826395619925,662.9122517284587,906.0229239623216,-339.11667819838715,1579.2303406053886,2038.0724738161205,6.768784592850828,13927.386849156523,-7049.067500162226,5.653863225476481,5.624
M3_XGBoost,W1_tempNoise2C,P0_noPrice,1000,pred_XGBoost_P0_noPrice,684.1321737122697,942.8140929255086,-338.685739986873,7.08128320910473,7.405029616693488,696.2135258099753,952.9389340009081,-380.91016636683105,1695.2994140625005,2154.518310546875,7.108813232142902,14653.87564400591,-8128.457759684953,5.883915793976739,5.955
M1_HorizonBiasCorrectedWeightedEnsemble,W1_tempNoise2C,P0_noPrice,1001,pred_HorizonBiasCorrected_WeightedEnsemble_P0_noPrice,665.9338006982604,911.9966927069846,-302.69169949281417,6.8929163434479666,7.208050880240946,677.653253787107,922.5977400374803,-351.79581189923914,1617.8309603320163,2073.8156266536294,6.91930024157749,14283.350266221034,-7264.600787827559,5.816940601849781,5.36
