regime,family,mae
high_price,P0_no_price,264.5330424736931
high_price,P1_raw_stitched_price,274.3072225389343
high_price,P2_path_shape,278.0456233794769
high_price,P3_price_regime,282.56971855131127
high_price,P4_spike_ramp,281.46439685367693
low_price,P0_no_price,229.34621149032665
low_price,P1_raw_stitched_price,229.75876775775868
low_price,P2_path_shape,231.2840919135449
low_price,P3_price_regime,228.46150088776196
low_price,P4_spike_ramp,227.74113924659798
spike_risk,P0_no_price,250.96190456665593
spike_risk,P1_raw_stitched_price,321.3667719642536
spike_risk,P2_path_shape,308.35148758571944
spike_risk,P3_price_regime,318.27636464360324
spike_risk,P4_spike_ramp,338.9838975499669
large_ramp,P0_no_price,252.4272878651775
large_ramp,P1_raw_stitched_price,256.04663510449984
large_ramp,P2_path_shape,259.8673575592203
large_ramp,P3_price_regime,261.73453716369204
large_ramp,P4_spike_ramp,260.8616538352744
cold,P0_no_price,304.1594264421199
cold,P1_raw_stitched_price,324.532890703761
cold,P2_path_shape,326.98362315232373
cold,P3_price_regime,330.72580573520554
cold,P4_spike_ramp,330.6579992339534
