mga_id,mga_name,cluster_id,cluster_label,mean_mw
STH,Stockholm,C11,EAST_COAST_MALARDALEN_STOCKHOLM / BIG_CITY_APARTMENT_SERVICE,193.011716
UPP,Uppsala,C11,EAST_COAST_MALARDALEN_STOCKHOLM / BIG_CITY_APARTMENT_SERVICE,36.76349
JRA,Järla,C11,EAST_COAST_MALARDALEN_STOCKHOLM / BIG_CITY_APARTMENT_SERVICE,13.398854
SDT,Södertälje,C12,EAST_COAST_MALARDALEN_STOCKHOLM / VILLA_SUBURBAN,39.369101
AKB,Åkersberga,C12,EAST_COAST_MALARDALEN_STOCKHOLM / VILLA_SUBURBAN,23.68673
LDG,Lidingö,C12,EAST_COAST_MALARDALEN_STOCKHOLM / VILLA_SUBURBAN,16.443006
NTE,Norrtälje,C12,EAST_COAST_MALARDALEN_STOCKHOLM / VILLA_SUBURBAN,15.442882
SGS,Strängnäs Tätort,C12,EAST_COAST_MALARDALEN_STOCKHOLM / VILLA_SUBURBAN,13.94108
EKG,Enköping,C13,EAST_COAST_MALARDALEN_STOCKHOLM / MIXED_SMALL_CITY_TOWN,5.181166
GBG,Göteborg,C21,WEST_COAST_GOTHENBURG / BIG_CITY_APARTMENT_SERVICE,122.863311
MDL,Mölndal,C21,WEST_COAST_GOTHENBURG / BIG_CITY_APARTMENT_SERVICE,12.830795
KUV,Kungälv,C22,WEST_COAST_GOTHENBURG / VILLA_SUBURBAN,19.84951
TRH,Trollhättan,C22,WEST_COAST_GOTHENBURG / VILLA_SUBURBAN,19.23025
VBG,Varberg,C22,WEST_COAST_GOTHENBURG / VILLA_SUBURBAN,18.14719
UVA,Uddevalla,C22,WEST_COAST_GOTHENBURG / VILLA_SUBURBAN,16.335689
ALS,Alingsås,C22,WEST_COAST_GOTHENBURG / VILLA_SUBURBAN,11.389798
VBS,Varbergsorten Södra,C22,WEST_COAST_GOTHENBURG / VILLA_SUBURBAN,10.224451
SGD,Stenungsund,C22,WEST_COAST_GOTHENBURG / VILLA_SUBURBAN,8.692203
LYS,Lysekil,C22,WEST_COAST_GOTHENBURG / VILLA_SUBURBAN,8.398603
KBA,Kungsbacka,C22,WEST_COAST_GOTHENBURG / VILLA_SUBURBAN,3.027811
VBN,Varbergsorten Norra,C22,WEST_COAST_GOTHENBURG / VILLA_SUBURBAN,1.933069
VAL,Värmland,C31,NORTHERN_INLAND / BIG_CITY_APARTMENT_SERVICE,80.750066
FLN,Falun,C32,NORTHERN_INLAND / VILLA_SUBURBAN,30.772102
LER,Leksand-Rättvik,C32,NORTHERN_INLAND / VILLA_SUBURBAN,19.108745
MOR,Mora-Orsa,C32,NORTHERN_INLAND / VILLA_SUBURBAN,15.214239
AVD,Älvdalen,C32,NORTHERN_INLAND / VILLA_SUBURBAN,10.048135
HMH,Hedemorahyttorna,C32,NORTHERN_INLAND / VILLA_SUBURBAN,8.544578
ARV,Arvika,C32,NORTHERN_INLAND / VILLA_SUBURBAN,7.821532
AML,Åmål,C32,NORTHERN_INLAND / VILLA_SUBURBAN,4.735978
ANG,Årjäng,C32,NORTHERN_INLAND / VILLA_SUBURBAN,2.197576
BRL,Borlänge,C33,NORTHERN_INLAND / MIXED_SMALL_CITY_TOWN,21.02953
NHA,Halland Norra,C42,SOUTHERN_INLAND_SMALAND_NORTH_GOTALAND / VILLA_SUBURBAN,54.550306
SHD,Sjuhärad,C42,SOUTHERN_INLAND_SMALAND_NORTH_GOTALAND / VILLA_SUBURBAN,48.093144
UPS,Uppland Södra,C42,SOUTHERN_INLAND_SMALAND_NORTH_GOTALAND / VILLA_SUBURBAN,47.149312
DAD,Dalsland med omnejd,C42,SOUTHERN_INLAND_SMALAND_NORTH_GOTALAND / VILLA_SUBURBAN,45.417348
SMN,Småland Norra lokalnät,C42,SOUTHERN_INLAND_SMALAND_NORTH_GOTALAND / VILLA_SUBURBAN,39.079799
NBL,Bohuslän Norra,C42,SOUTHERN_INLAND_SMALAND_NORTH_GOTALAND / VILLA_SUBURBAN,34.988805
VAN,Vätterbygden,C42,SOUTHERN_INLAND_SMALAND_NORTH_GOTALAND / VILLA_SUBURBAN,33.583633
GTL,Gotland,C42,SOUTHERN_INLAND_SMALAND_NORTH_GOTALAND / VILLA_SUBURBAN,30.60269
