area_code,row_count,mean_mw,median_mw,p05_mw,p95_mw,min_mw,max_mw,negative_hours_count,zero_hours_count
SE1,35047,1247.121,1213.0,852.0,1727.175,161.0,4428.25,0,0
SE2,35072,1720.689,1649.0,1077.0,2535.475,166.0,7279.0,0,0
SE3,35171,9488.861,9124.0,6563.0,13307.5,5198.0,16747.0,0,0
SE4,35069,2473.552,2390.0,1655.0,3553.0,667.75,4696.0,0,0
NO1,35217,3933.44,3661.205,2198.648,6328.257,1692.97,8165.99,0,0
NO2,35216,4099.989,3984.404,3124.834,5439.483,1594.76,6769.295,0,0
NO3,35214,3242.356,3182.62,2515.516,4124.168,2009.57,4845.222,0,0
NO4,35217,2316.959,2313.22,1726.272,2949.638,1430.04,3457.682,0,0
NO5,35217,1925.424,1881.82,1412.83,2552.023,847.07,4325.65,0,0
DK1,35161,2570.463,2567.25,1810.48,3379.85,1317.86,4356.927,0,0
DK2,35157,1608.919,1597.73,1099.364,2155.7,425.18,5968.37,0,0
FI,35189,9392.049,9129.9,6990.91,12525.05,5273.15,15458.75,0,0
EE,35168,919.608,896.4,621.835,1282.0,354.15,1656.25,0,0
LV,34929,791.7,786.0,537.0,1072.0,423.0,1720.0,0,0
LT,35176,1367.101,1344.91,973.236,1862.696,285.749,2674.634,0,0
DE_LU,35217,53582.001,53572.309,39346.653,68980.788,31278.373,79007.64,0,0
PL,35217,18725.359,18790.101,13742.837,24124.854,10595.8,28303.88,0,0
NL,35217,12734.585,12648.85,9748.764,16828.358,205.251,20499.268,0,0
