area_code,p0056a_consumption_rows,p0056a_max_timestamp_utc,weather_rows,weather_max_timestamp_utc
DE_LU,35217,2026-06-07T08:00:00Z,35062,2026-05-31T21:00Z
DK1,35161,2026-06-07T07:00:00Z,35062,2026-05-31T21:00Z
DK2,35157,2026-06-07T07:00:00Z,35062,2026-05-31T21:00Z
EE,35168,2026-06-07T08:00:00Z,35062,2026-05-31T21:00Z
FI,35189,2026-06-07T08:00:00Z,35062,2026-05-31T21:00Z
LT,35176,2026-06-07T08:00:00Z,35062,2026-05-31T21:00Z
LV,34929,2026-06-07T08:00:00Z,35062,2026-05-31T21:00Z
NL,35217,2026-06-07T08:00:00Z,35062,2026-05-31T21:00Z
NO1,35217,2026-06-07T08:00:00Z,35062,2026-05-31T21:00Z
NO2,35216,2026-06-07T08:00:00Z,35062,2026-05-31T21:00Z
NO3,35214,2026-06-07T08:00:00Z,35062,2026-05-31T21:00Z
NO4,35217,2026-06-07T08:00:00Z,35062,2026-05-31T21:00Z
NO5,35217,2026-06-07T08:00:00Z,35062,2026-05-31T21:00Z
PL,35217,2026-06-07T08:00:00Z,35062,2026-05-31T21:00Z
SE1,35047,2026-06-07T08:00:00Z,35062,2026-05-31T21:00Z
SE2,35072,2026-06-07T08:00:00Z,35062,2026-05-31T21:00Z
SE3,35171,2026-06-07T08:00:00Z,35062,2026-05-31T21:00Z
SE4,35069,2026-06-07T08:00:00Z,35062,2026-05-31T21:00Z
