area_code,dayahead_rows,elapsed_seconds,full36_rows,job,model_status,phase,rows,status,timestamp,total_jobs
SE1,,39.0,,1,full_model,learn,51894,done,2026-06-07T12:10:47Z,36
SE1,8184,15.0,12024,2,,test,,done,2026-06-07T12:11:02Z,36
SE2,,38.0,,3,full_model,learn,51795,done,2026-06-07T12:11:40Z,36
SE2,8184,16.0,12096,4,,test,,done,2026-06-07T12:11:56Z,36
SE3,,39.0,,5,full_model,learn,52041,done,2026-06-07T12:12:35Z,36
SE3,8496,16.0,12672,6,,test,,done,2026-06-07T12:12:51Z,36
SE4,,39.0,,7,full_model,learn,51794,done,2026-06-07T12:13:30Z,36
SE4,8208,15.0,12024,8,,test,,done,2026-06-07T12:13:45Z,36
NO1,,39.0,,9,full_model,learn,52320,done,2026-06-07T12:14:24Z,36
NO1,8712,17.0,13104,10,,test,,done,2026-06-07T12:14:41Z,36
NO2,,39.0,,11,full_model,learn,52319,done,2026-06-07T12:15:20Z,36
NO2,8712,17.0,13104,12,,test,,done,2026-06-07T12:15:37Z,36
NO3,,40.0,,13,full_model,learn,52314,done,2026-06-07T12:16:17Z,36
NO3,8712,17.0,13104,14,,test,,done,2026-06-07T12:16:34Z,36
NO4,,39.0,,15,full_model,learn,52320,done,2026-06-07T12:17:13Z,36
NO4,8712,17.0,13104,16,,test,,done,2026-06-07T12:17:30Z,36
NO5,,39.0,,17,full_model,learn,52320,done,2026-06-07T12:18:09Z,36
NO5,8712,17.0,13104,18,,test,,done,2026-06-07T12:18:26Z,36
DK1,,40.0,,19,full_model,learn,52222,done,2026-06-07T12:19:06Z,36
DK1,8640,17.0,12924,20,,test,,done,2026-06-07T12:19:23Z,36
DK2,,40.0,,21,full_model,learn,52214,done,2026-06-07T12:20:03Z,36
DK2,8640,17.0,12924,22,,test,,done,2026-06-07T12:20:20Z,36
FI,,40.0,,23,full_model,learn,52247,done,2026-06-07T12:21:00Z,36
FI,8712,17.0,13104,24,,test,,done,2026-06-07T12:21:17Z,36
EE,,39.0,,25,full_model,learn,52213,done,2026-06-07T12:21:56Z,36
EE,8472,17.0,12528,26,,test,,done,2026-06-07T12:22:13Z,36
LV,,39.0,,27,full_model,learn,51072,done,2026-06-07T12:22:52Z,36
LV,8520,17.0,12636,28,,test,,done,2026-06-07T12:23:09Z,36
LT,,41.0,,29,full_model,learn,52221,done,2026-06-07T12:23:50Z,36
LT,8664,18.0,12996,30,,test,,done,2026-06-07T12:24:08Z,36
DE_LU,,40.0,,31,full_model,learn,52320,done,2026-06-07T12:24:48Z,36
DE_LU,8712,18.0,13104,32,,test,,done,2026-06-07T12:25:06Z,36
PL,,41.0,,33,full_model,learn,52320,done,2026-06-07T12:25:47Z,36
PL,8712,18.0,13104,34,,test,,done,2026-06-07T12:26:05Z,36
NL,,41.0,,35,full_model,learn,52320,done,2026-06-07T12:26:46Z,36
NL,8712,17.0,13104,36,,test,,done,2026-06-07T12:27:03Z,36
