area_code,elapsed_seconds,feature_count,forecast_rows,forecast_rows_162h,forecast_rows_168h,model_id,phase,status,timestamp,train_rows,week_id
SE1,3.0,48,166,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:47:49Z,25914,2025-W23
SE1,0.0,,,161,166,B_weekly_HGB_no_price,test,done,2026-06-08T09:47:49Z,,2025-W23
SE1,2.0,48,167,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:47:51Z,26080,2025-W24
SE1,0.0,,,161,167,B_weekly_HGB_no_price,test,done,2026-06-08T09:47:51Z,,2025-W24
SE1,2.0,48,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:47:53Z,26247,2025-W25
SE1,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:47:53Z,,2025-W25
SE1,2.0,48,167,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:47:55Z,26415,2025-W26
SE1,0.0,,,161,167,B_weekly_HGB_no_price,test,done,2026-06-08T09:47:55Z,,2025-W26
SE1,2.0,48,166,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:47:57Z,26582,2025-W27
SE1,0.0,,,160,166,B_weekly_HGB_no_price,test,done,2026-06-08T09:47:57Z,,2025-W27
SE1,2.0,48,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:47:59Z,26748,2025-W28
SE1,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:47:59Z,,2025-W28
SE1,2.0,48,166,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:48:01Z,26916,2025-W29
SE1,0.0,,,160,166,B_weekly_HGB_no_price,test,done,2026-06-08T09:48:01Z,,2025-W29
SE1,2.0,48,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:48:03Z,27082,2025-W30
SE1,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:48:03Z,,2025-W30
SE1,2.0,48,167,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:48:05Z,27250,2025-W31
SE1,0.0,,,161,167,B_weekly_HGB_no_price,test,done,2026-06-08T09:48:05Z,,2025-W31
SE1,2.0,48,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:48:07Z,27417,2025-W32
SE1,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:48:07Z,,2025-W32
SE1,3.0,48,167,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:48:10Z,27585,2025-W33
SE1,0.0,,,161,167,B_weekly_HGB_no_price,test,done,2026-06-08T09:48:10Z,,2025-W33
SE1,2.0,48,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:48:12Z,27752,2025-W34
SE1,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:48:12Z,,2025-W34
SE1,2.0,48,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:48:14Z,27920,2025-W35
SE1,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:48:14Z,,2025-W35
SE1,2.0,48,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:48:16Z,28088,2025-W36
SE1,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:48:16Z,,2025-W36
SE1,2.0,48,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:48:18Z,28256,2025-W37
SE1,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:48:18Z,,2025-W37
SE1,3.0,48,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:48:21Z,28424,2025-W38
SE1,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:48:21Z,,2025-W38
SE1,2.0,48,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:48:23Z,28592,2025-W39
SE1,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:48:23Z,,2025-W39
SE1,2.0,48,166,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:48:25Z,28760,2025-W40
SE1,0.0,,,160,166,B_weekly_HGB_no_price,test,done,2026-06-08T09:48:25Z,,2025-W40
SE1,2.0,48,166,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:48:27Z,28926,2025-W41
SE1,0.0,,,160,166,B_weekly_HGB_no_price,test,done,2026-06-08T09:48:27Z,,2025-W41
SE1,2.0,48,167,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:48:29Z,29092,2025-W42
SE1,0.0,,,161,167,B_weekly_HGB_no_price,test,done,2026-06-08T09:48:29Z,,2025-W42
