area_code,available_forecast_rows,elapsed_seconds,expected_forecast_rows,forecast_origin_utc,forecast_rows,mode,note,origin,phase,reason,shared_model,status,timestamp
SE1,35,,36,2025-06-01T04:00:00Z,,L1_origin_known_fallback,,2025-06-01T06:00:00+02:00,test,incomplete target/weather coverage for strict 36h origin window,,skipped,2026-06-08T10:47:37Z
SE1,35,,36,2025-06-01T04:00:00Z,,L2_recursive_lags,,2025-06-01T06:00:00+02:00,test,incomplete target/weather coverage for strict 36h origin window,,skipped,2026-06-08T10:47:37Z
SE1,35,,36,2025-06-06T04:00:00Z,,L1_origin_known_fallback,,2025-06-06T06:00:00+02:00,test,incomplete target/weather coverage for strict 36h origin window,,skipped,2026-06-08T10:47:37Z
SE1,35,,36,2025-06-06T04:00:00Z,,L2_recursive_lags,,2025-06-06T06:00:00+02:00,test,incomplete target/weather coverage for strict 36h origin window,,skipped,2026-06-08T10:47:37Z
SE1,,1.0,,,,L1_origin_known_fallback,shared model fit reused,2025-06-11T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:47:38Z
SE1,,0.0,,,36,L1_origin_known_fallback,,2025-06-11T06:00:00+02:00,test,,,done,2026-06-08T10:47:38Z
SE1,,1.0,,,,L2_recursive_lags,shared model fit reused,2025-06-11T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:47:38Z
SE1,,0.0,,,36,L2_recursive_lags,,2025-06-11T06:00:00+02:00,test,,,done,2026-06-08T10:47:38Z
SE1,,1.0,,,,L1_origin_known_fallback,shared model fit reused,2025-06-16T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:47:39Z
SE1,,0.0,,,36,L1_origin_known_fallback,,2025-06-16T06:00:00+02:00,test,,,done,2026-06-08T10:47:39Z
SE1,,1.0,,,,L2_recursive_lags,shared model fit reused,2025-06-16T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:47:39Z
SE1,,1.0,,,36,L2_recursive_lags,,2025-06-16T06:00:00+02:00,test,,,done,2026-06-08T10:47:40Z
SE1,,1.0,,,,L1_origin_known_fallback,shared model fit reused,2025-06-21T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:47:41Z
SE1,,0.0,,,36,L1_origin_known_fallback,,2025-06-21T06:00:00+02:00,test,,,done,2026-06-08T10:47:41Z
SE1,,1.0,,,,L2_recursive_lags,shared model fit reused,2025-06-21T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:47:41Z
SE1,,0.0,,,36,L2_recursive_lags,,2025-06-21T06:00:00+02:00,test,,,done,2026-06-08T10:47:41Z
SE1,,1.0,,,,L1_origin_known_fallback,shared model fit reused,2025-06-26T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:47:42Z
SE1,,0.0,,,36,L1_origin_known_fallback,,2025-06-26T06:00:00+02:00,test,,,done,2026-06-08T10:47:42Z
SE1,,1.0,,,,L2_recursive_lags,shared model fit reused,2025-06-26T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:47:42Z
SE1,,0.0,,,36,L2_recursive_lags,,2025-06-26T06:00:00+02:00,test,,,done,2026-06-08T10:47:42Z
SE1,35,,36,2025-07-01T04:00:00Z,,L1_origin_known_fallback,,2025-07-01T06:00:00+02:00,test,incomplete target/weather coverage for strict 36h origin window,,skipped,2026-06-08T10:47:42Z
SE1,35,,36,2025-07-01T04:00:00Z,,L2_recursive_lags,,2025-07-01T06:00:00+02:00,test,incomplete target/weather coverage for strict 36h origin window,,skipped,2026-06-08T10:47:42Z
SE1,35,,36,2025-07-06T04:00:00Z,,L1_origin_known_fallback,,2025-07-06T06:00:00+02:00,test,incomplete target/weather coverage for strict 36h origin window,,skipped,2026-06-08T10:47:42Z
SE1,35,,36,2025-07-06T04:00:00Z,,L2_recursive_lags,,2025-07-06T06:00:00+02:00,test,incomplete target/weather coverage for strict 36h origin window,,skipped,2026-06-08T10:47:42Z
SE1,,1.0,,,,L1_origin_known_fallback,shared model fit reused,2025-07-11T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:47:43Z
SE1,,0.0,,,36,L1_origin_known_fallback,,2025-07-11T06:00:00+02:00,test,,,done,2026-06-08T10:47:43Z
SE1,,1.0,,,,L2_recursive_lags,shared model fit reused,2025-07-11T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:47:43Z
SE1,,0.0,,,36,L2_recursive_lags,,2025-07-11T06:00:00+02:00,test,,,done,2026-06-08T10:47:43Z
SE1,35,,36,2025-07-16T04:00:00Z,,L1_origin_known_fallback,,2025-07-16T06:00:00+02:00,test,incomplete target/weather coverage for strict 36h origin window,,skipped,2026-06-08T10:47:43Z
SE1,35,,36,2025-07-16T04:00:00Z,,L2_recursive_lags,,2025-07-16T06:00:00+02:00,test,incomplete target/weather coverage for strict 36h origin window,,skipped,2026-06-08T10:47:43Z
SE1,,1.0,,,,L1_origin_known_fallback,shared model fit reused,2025-07-21T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:47:44Z
SE1,,0.0,,,36,L1_origin_known_fallback,,2025-07-21T06:00:00+02:00,test,,,done,2026-06-08T10:47:44Z
SE1,,1.0,,,,L2_recursive_lags,shared model fit reused,2025-07-21T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:47:44Z
SE1,,1.0,,,36,L2_recursive_lags,,2025-07-21T06:00:00+02:00,test,,,done,2026-06-08T10:47:45Z
SE1,,1.0,,,,L1_origin_known_fallback,shared model fit reused,2025-07-26T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:47:46Z
SE1,,0.0,,,36,L1_origin_known_fallback,,2025-07-26T06:00:00+02:00,test,,,done,2026-06-08T10:47:46Z
