exact_match_count,example_mismatches,feature,max_abs_delta,mean_abs_delta,mismatch_count,rows_compared
0,"[{""delta"": -18.0, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T04:00:00Z""], ""rolling"": 1, ""static"": 19}, {""delta"": -18.0, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T05:00:00Z""], ""rolling"": 2, ""static"": 20}, {""delta"": -18.0, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T06:00:00Z""], ""rolling"": 3, ""static"": 21}]",horizon_h,18.0,8.0,432,432
432,[],target_model_cet_hour,0.0,0.0,0,432
432,[],target_model_cet_weekday,0.0,0.0,0,432
432,[],target_model_cet_day_of_year,0.0,0.0,0,432
432,[],target_month,0.0,0.0,0,432
432,[],target_hour_sin,0.0,0.0,0,432
432,[],target_hour_cos,0.0,0.0,0,432
432,[],target_dayofyear_sin,0.0,0.0,0,432
432,[],target_dayofyear_cos,0.0,0.0,0,432
432,[],is_weekend,0.0,0.0,0,432
432,[],is_workday,0.0,0.0,0,432
432,[],is_holiday,0.0,0.0,0,432
432,[],is_bridge_day,0.0,0.0,0,432
432,[],is_holiday_period,0.0,0.0,0,432
432,[],holiday_strength,0.0,0.0,0,432
432,[],special_day_type,,,0,432
432,[],special_day_group,,,0,432
0,"[{""delta"": -163.0, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T04:00:00Z""], ""rolling"": 1446.0, ""static"": 1609.0}, {""delta"": -163.0, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T05:00:00Z""], ""rolling"": 1446.0, ""static"": 1609.0}, {""delta"": -163.0, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T06:00:00Z""], ""rolling"": 1446.0, ""static"": 1609.0}]",area_consumption_lag_1h,5235.0,352.84375,432,432
0,"[{""delta"": -88.0, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T04:00:00Z""], ""rolling"": 1482.0, ""static"": 1570.0}, {""delta"": -88.0, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T05:00:00Z""], ""rolling"": 1482.0, ""static"": 1570.0}, {""delta"": -88.0, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T06:00:00Z""], ""rolling"": 1482.0, ""static"": 1570.0}]",area_consumption_lag_2h,4734.0,572.800925925926,432,432
0,"[{""delta"": 52.0, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T04:00:00Z""], ""rolling"": 1621.0, ""static"": 1569.0}, {""delta"": 52.0, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T05:00:00Z""], ""rolling"": 1621.0, ""static"": 1569.0}, {""delta"": 52.0, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T06:00:00Z""], ""rolling"": 1621.0, ""static"": 1569.0}]",area_consumption_lag_3h,4909.5,644.2835648148134,432,432
0,"[{""delta"": 331.0, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T04:00:00Z""], ""rolling"": 1696.0, ""static"": 1365.0}, {""delta"": 331.0, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T05:00:00Z""], ""rolling"": 1696.0, ""static"": 1365.0}, {""delta"": 331.0, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T06:00:00Z""], ""rolling"": 1696.0, ""static"": 1365.0}]",area_consumption_lag_6h,5051.666666666666,525.1481481481479,432,432
