day,day_type,duplicate_interval_start_count,max_mw,mean_mw,min_mw,native_resolution_distribution,native_row_count,p95_mw,unique_interval_start_count
2025-12-12,local_date,0,3201.0,2852.6526315789474,2413.0,15:95,95,3118.7999999999997,95
2025-12-24,local_date,0,2054.0,1577.0,738.0,15:95,95,1979.8,95
2025-12-27,local_date,0,4641.0,2630.2395833333335,1202.0,15:96,96,3966.5,96
2026-02-08,local_date,0,3733.0,2673.0625,1709.0,15:96,96,3521.0,96
2026-03-21,local_date,0,2291.0,1681.2916666666667,1188.0,15:96,96,2078.0,96
2026-03-25,local_date,0,2518.0,1831.6315789473683,1169.0,15:95,95,2261.5,95
2026-03-26,local_date,0,2856.0,2224.0833333333335,1564.0,15:96,96,2790.5,96
2026-03-27,local_date,0,2355.0,1828.4526315789474,1205.0,15:95,95,2304.3999999999996,95
2026-03-28,local_date,0,7306.0,5505.787234042553,1406.0,15:94,94,7197.0,94
2026-03-29,local_date,0,2441.0,1803.141304347826,1263.0,15:92,92,2313.9,92
2026-03-30,local_date,0,2366.0,1925.223404255319,1481.0,15:94,94,2283.5499999999997,94
2026-03-31,local_date,0,2302.0,1984.9052631578948,1564.0,15:95,95,2219.9,95
2026-04-04,local_date,0,2296.0,1613.0520833333333,1110.0,15:96,96,2018.75,96
2025-12-11,utc_date,0,2585.0,2511.75,2413.0,15:4,4,2580.8,4
2025-12-12,utc_date,0,3201.0,2867.6373626373625,2576.0,15:91,91,3128.0,91
2025-12-23,utc_date,0,1246.0,953.0,742.0,15:4,4,1203.1,4
2025-12-24,utc_date,0,2054.0,1604.4285714285713,738.0,15:91,91,1981.0,91
2025-12-26,utc_date,0,1633.0,1508.5,1448.0,15:4,4,1609.75,4
2025-12-27,utc_date,0,4641.0,2679.0108695652175,1202.0,15:92,92,3966.9,92
2026-02-07,utc_date,0,2179.0,2123.5,2098.0,15:4,4,2169.4,4
2026-02-08,utc_date,0,3733.0,2696.9565217391305,1709.0,15:92,92,3540.2000000000003,92
2026-03-20,utc_date,0,1688.0,1411.5,1212.0,15:4,4,1647.05,4
2026-03-21,utc_date,0,2291.0,1693.0217391304348,1188.0,15:92,92,2083.6,92
2026-03-24,utc_date,0,1485.0,1462.0,1428.0,15:3,3,1483.8,3
2026-03-25,utc_date,0,2518.0,1866.78125,1169.0,15:96,96,2369.75,96
2026-03-26,utc_date,0,2856.0,2206.2604166666665,1564.0,15:96,96,2790.5,96
2026-03-27,utc_date,0,2355.0,1831.3191489361702,1205.0,15:94,94,2306.2999999999997,94
2026-03-28,utc_date,0,7306.0,5461.38947368421,1406.0,15:95,95,7196.0,95
2026-03-29,utc_date,0,2441.0,1787.4375,1263.0,15:96,96,2313.5,96
2026-03-30,utc_date,0,2366.0,1950.9574468085107,1481.0,15:94,94,2283.5499999999997,94
2026-03-31,utc_date,0,2302.0,1986.5747126436781,1564.0,15:87,87,2221.1,87
2026-04-03,utc_date,0,1611.0,1529.375,1421.0,15:8,8,1600.15,8
2026-04-04,utc_date,0,2296.0,1620.659090909091,1110.0,15:88,88,2029.5499999999997,88
