area_code,delivery_date_local,forecast_origin_local,forecast_origin_utc,horizon_h,is_dst_transition_day,is_fall_back_day,is_spring_forward_day,local_date,local_hour,local_hour_occurrence_index,target_timestamp_local,target_timestamp_utc,utc_offset_minutes
SE2,2026-03-25,2026-03-24T12:00:00+01:00,2026-03-24T11:00:00Z,13,False,False,False,2026-03-25,0,0,2026-03-25T00:00:00+01:00,2026-03-24T23:00:00Z,60
SE2,2026-03-25,2026-03-24T12:00:00+01:00,2026-03-24T11:00:00Z,14,False,False,False,2026-03-25,1,0,2026-03-25T01:00:00+01:00,2026-03-25T00:00:00Z,60
SE2,2026-03-25,2026-03-24T12:00:00+01:00,2026-03-24T11:00:00Z,15,False,False,False,2026-03-25,2,0,2026-03-25T02:00:00+01:00,2026-03-25T01:00:00Z,60
SE2,2026-03-25,2026-03-24T12:00:00+01:00,2026-03-24T11:00:00Z,16,False,False,False,2026-03-25,3,0,2026-03-25T03:00:00+01:00,2026-03-25T02:00:00Z,60
SE2,2026-03-25,2026-03-24T12:00:00+01:00,2026-03-24T11:00:00Z,17,False,False,False,2026-03-25,4,0,2026-03-25T04:00:00+01:00,2026-03-25T03:00:00Z,60
SE2,2026-03-25,2026-03-24T12:00:00+01:00,2026-03-24T11:00:00Z,18,False,False,False,2026-03-25,5,0,2026-03-25T05:00:00+01:00,2026-03-25T04:00:00Z,60
SE2,2026-03-25,2026-03-24T12:00:00+01:00,2026-03-24T11:00:00Z,19,False,False,False,2026-03-25,6,0,2026-03-25T06:00:00+01:00,2026-03-25T05:00:00Z,60
SE2,2026-03-25,2026-03-24T12:00:00+01:00,2026-03-24T11:00:00Z,20,False,False,False,2026-03-25,7,0,2026-03-25T07:00:00+01:00,2026-03-25T06:00:00Z,60
SE2,2026-03-25,2026-03-24T12:00:00+01:00,2026-03-24T11:00:00Z,21,False,False,False,2026-03-25,8,0,2026-03-25T08:00:00+01:00,2026-03-25T07:00:00Z,60
SE2,2026-03-25,2026-03-24T12:00:00+01:00,2026-03-24T11:00:00Z,22,False,False,False,2026-03-25,9,0,2026-03-25T09:00:00+01:00,2026-03-25T08:00:00Z,60
SE2,2026-03-25,2026-03-24T12:00:00+01:00,2026-03-24T11:00:00Z,23,False,False,False,2026-03-25,10,0,2026-03-25T10:00:00+01:00,2026-03-25T09:00:00Z,60
SE2,2026-03-25,2026-03-24T12:00:00+01:00,2026-03-24T11:00:00Z,24,False,False,False,2026-03-25,11,0,2026-03-25T11:00:00+01:00,2026-03-25T10:00:00Z,60
SE2,2026-03-25,2026-03-24T12:00:00+01:00,2026-03-24T11:00:00Z,25,False,False,False,2026-03-25,12,0,2026-03-25T12:00:00+01:00,2026-03-25T11:00:00Z,60
SE2,2026-03-25,2026-03-24T12:00:00+01:00,2026-03-24T11:00:00Z,26,False,False,False,2026-03-25,13,0,2026-03-25T13:00:00+01:00,2026-03-25T12:00:00Z,60
SE2,2026-03-25,2026-03-24T12:00:00+01:00,2026-03-24T11:00:00Z,27,False,False,False,2026-03-25,14,0,2026-03-25T14:00:00+01:00,2026-03-25T13:00:00Z,60
